id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,total
2990,Ibrahim Tsallagov,PFC Sochi,0.1193,0.1085,0.0,0.2874,0.2433,0.0634,0.0411,0.0,-,-,0.0706,0.1243,-,0.0,0.3834,0.0546,0.1216,0.3822,0.53,1.4199,0.0416,3.9912
2856,Maciej Rybus,Lokomotiv Moscow,0.6335,0.4896,0.697,0.0873,-,0.1332,0.1039,0.3144,0.0,0.1959,0.1601,0.2075,0.1157,-,0.0,0.0945,0.1674,0.1565,0.2735,0.0,0.1142,3.9442
8362,Ilya Samoshnikov,Rubin Kazan,0.02,0.2219,0.1951,0.0,0.0,-,-,-,0.2545,0.0181,0.5491,0.0745,0.8162,-,0.0,0.234,-,0.7608,0.2963,0.3875,0.115,3.943
5394,Valeriu Ciuperca,FC Tambov,0.0,0.4377,0.4294,0.1376,0.4016,0.1062,0.0075,0.1004,0.2073,0.9495,0.4683,0.0309,-,0.184,0.0582,0.0,-,-,0.3034,-,-,3.822
6611,Vyacheslav Grulev,Dinamo Moscow,0.0,-,-,0.0,-,0.0676,0.0142,0.2508,0.1267,0.9878,0.1256,0.2355,-,-,0.0222,0.0967,0.2761,0.6718,0.1784,0.0897,0.6386,3.7817
2790,Aleksandr Martynovich,FC Krasnodar,1.1365,0.0885,0.0,0.4525,0.1252,0.0892,-,0.1623,0.2723,0.388,-,0.0,-,0.1131,0.1139,0.022,0.275,0.0167,0.031,0.4755,-,3.7617
3015,Nikolay Komlichenko,Dinamo Moscow,0.3815,0.7576,0.0848,0.6894,0.0,0.0,0.0,-,0.3664,0.2204,0.1466,0.2504,0.5149,-,0.084,0.1449,0.0,0.0665,0.0,0.0424,-,3.7498
5526,Dmitrii Skopintcev,Dinamo Moscow,0.2835,0.7787,0.0812,0.6053,0.0693,0.2319,0.0289,0.1637,0.2167,0.0,0.1258,0.1368,0.0769,0.0,0.1828,0.1449,-,-,-,-,0.6099,3.7363
6025,Ivan Ignatyev,Rubin Kazan,1.0576,0.2237,0.1589,0.4922,0.0,0.3492,-,0.0354,0.1445,-,0.0,-,-,0.0705,-,0.1724,0.6789,-,0.3516,-,-,3.7349
963,Eder,Lokomotiv Moscow,-,-,0.0638,0.5642,0.7015,0.1332,0.0639,0.3303,0.4266,0.2924,0.0,0.3292,0.0312,-,0.0,0.231,0.0836,0.4404,0.0,0.0342,-,3.7255
7630,Kings Kangwa,Arsenal Tula,0.4946,0.3016,-,0.5826,0.31,0.0178,0.1303,0.11,0.298,0.0998,0.1081,0.0,0.0781,0.3336,-,0.1328,0.4382,-,0.2731,0.0,-,3.7086
7136,Arnór Sigurdsson,CSKA Moscow,0.1454,0.2126,0.0,0.2296,0.1082,-,-,0.6534,0.7423,0.0,-,0.1096,0.8364,0.1136,0.1829,0.2008,-,-,0.0,0.101,0.0683,3.7041
3062,Oleg Shatov,Rubin Kazan,-,-,-,0.5912,0.0517,0.3081,0.328,0.274,1.227,0.0181,0.0796,0.0745,-,0.2188,0.0094,0.2945,0.1539,-,-,0.0529,-,3.6817
3055,Igor Smolnikov,FC Krasnodar,0.1461,0.0291,-,0.4292,0.0163,-,-,0.8703,0.2558,0.4403,0.0,0.0378,-,-,0.3077,0.0084,0.1448,0.4928,0.1242,0.3596,-,3.6624
6586,Andrey Egorychev,Ural,0.4764,0.0584,0.5276,0.2419,0.0759,0.1175,0.1168,-,0.0419,0.0418,0.0715,0.1017,0.6484,0.5643,-,-,0.2026,0.0187,0.1879,-,0.1617,3.655
3021,Aleksei Kozlov,FC Rostov,0.0407,0.0304,0.166,0.1128,0.0953,0.017,0.5537,-,0.0,0.0489,0.0,0.9273,0.017,-,-,-,0.0,0.0,0.7713,0.6089,0.2537,3.643
2924,Pavel Mamaev,FC Rostov,0.6207,0.3449,0.1153,0.9116,-,-,0.0368,-,-,0.0,1.272,0.1494,0.154,-,-,-,-,-,-,-,-,3.6047
7678,Soltmurad Bakaev,Rubin Kazan,0.1946,0.1578,0.2412,0.5409,0.0293,-,0.243,0.0958,0.2754,0.3653,0.5246,0.2169,0.3393,0.0291,0.024,0.1724,0.0129,0.0,-,0.0314,0.0628,3.5567
5893,Oleg Danchenko,FC Ufa,-,-,0.0627,0.0,0.0293,0.4312,0.1353,0.0,0.0,0.1881,-,-,0.1696,0.0681,0.1921,1.4155,0.5675,0.1099,0.1798,-,-,3.5491
6910,Igor Diveev,CSKA Moscow,1.0594,0.1498,0.0149,0.2816,0.036,0.0731,-,-,-,-,0.048,0.1376,0.772,0.1795,0.0127,0.1109,0.5071,-,0.125,-,-,3.5076
8873,Vladislav Kamilov,FC Ufa,-,-,-,-,-,-,-,-,0.1369,0.0272,0.1003,-,0.1819,0.1324,0.1097,1.6244,0.7022,0.0787,0.0592,0.3485,-,3.5014
7632,Ivan Ordets,Dinamo Moscow,0.3242,0.0858,0.0,0.5723,0.0103,0.2612,0.0562,0.1147,0.0924,0.5899,0.1325,0.0683,0.1735,-,0.0529,0.1837,0.0854,0.5808,0.0714,0.0358,-,3.4913
6600,Konstantin Pliev,FC Ufa,-,-,-,-,-,-,-,-,-,0.0272,0.0,0.0282,0.1204,0.0,0.8014,1.4791,0.6514,0.0,-,0.2548,0.1146,3.4771
