id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
3196,Kamil Mullin,FC Rotor Volgograd,0.1417,0.0832,0.0666,0.4266,0.046,0.308,-,-,-,0.0282,0.2354,0.0,0.0,0.0,0.2865,0.0,0.2007,-,1.8229
7658,Aleksandre Karapetian,FC Tambov,0.0,0.4759,0.0895,0.1376,0.0162,0.2513,0.0,0.0,-,0.0362,0.3867,-,-,0.1776,0.0423,0.0661,0.1313,-,1.8107
6275,Evans Kangwa,Arsenal Tula,0.0,0.0,-,0.0333,0.8009,0.0,0.0607,0.4144,0.298,0.0,0.0,0.0721,0.0,0.0,-,-,-,0.1232,1.8026
2907,Sly,Dinamo Moscow,0.439,0.0595,0.0,0.5443,0.0,0.0415,0.0142,0.1626,0.524,-,-,-,-,-,-,-,-,-,1.7851
6138,Andrei Panyukov,Ural,0.3852,0.0468,0.0,0.1704,-,-,0.489,0.4343,0.1071,0.0,-,0.0,-,-,0.115,-,-,-,1.7478
3066,Aleksandr Kokorin,Spartak Moscow,-,-,-,-,-,-,0.0582,-,0.1239,-,0.7543,0.0,0.0,0.0,0.0,0.8091,-,-,1.7455
8694,Chidera Ejuke,CSKA Moscow,-,-,-,-,-,0.018,0.3428,0.291,0.1109,0.0,0.0674,0.4642,0.0783,0.1795,0.0369,0.0,0.101,-,1.69
3162,Khoren Bayramyan,FC Rostov,0.0,0.0,0.0238,0.1295,0.0,0.027,0.0,-,0.0164,0.0,-,0.056,-,-,0.759,0.624,0.03,-,1.6657
8622,Vitali Lisakovich,Lokomotiv Moscow,-,0.3697,0.0638,0.0,0.107,0.0,0.0,0.0,-,0.8234,0.0,0.1803,0.0,0.0,-,0.0,0.1042,-,1.6484
6797,Filip Uremovic,Rubin Kazan,0.0,0.0862,0.382,0.0,0.2583,0.0,-,0.0,0.4095,0.0,0.0,0.3304,0.0,0.1781,-,-,-,-,1.6445
6611,Vyacheslav Grulev,Dinamo Moscow,0.0,-,-,0.0,-,0.0676,0.0,0.3483,0.1767,0.4932,0.1256,0.1707,-,-,0.0222,0.0602,0.1708,-,1.6353
