team,pos,fpl_first_name,fpl_last_name,fpl_web_name,start_cost,now_cost,FPL_ID,Understat_ID
Man Utd,D,Phil,Jones,Jones,5,4.8,297,951
Man Utd,D,Harry,Maguire,Maguire,5.5,5.5,298,1687
Man Utd,M,Frederico,Rodrigues de Paula Santos,Fred,5.5,5.3,299,6817
Man Utd,D,Luke,Shaw,Shaw,5,4.9,300,1006
West Ham,M,Jesse,Lingard,Lingard,6,6.0,301,558
Man Utd,M,Bruno Miguel,Borges Fernandes,Fernandes,10.5,11.4,302,1228
Man Utd,F,Anthony,Martial,Martial,9,8.7,303,553
Man Utd,M,Andreas,Pereira,Pereira,5,4.8,304,922
Man Utd,G,Dean,Henderson,Henderson,5.5,5.2,305,7702
Man Utd,M,Marcus,Rashford,Rashford,9.5,9.5,306,556
Man Utd,D,Axel,Tuanzebe,Tuanzebe,4.5,4.2,307,934
Man Utd,D,Victor,Lindelöf,Lindelöf,5,4.8,308,6080
Man Utd,M,Scott,McTominay,McTominay,5,4.9,309,5560
Man Utd,D,Eric,Bailly,Bailly,5,4.9,310,1739
Man Utd,M,Daniel,James,James,6.5,6.2,311,5595
Man Utd,D,Timothy,Fosu-Mensah,Fosu-Mensah,4.5,4.3,312,549
Man Utd,D,Aaron,Wan-Bissaka,Wan-Bissaka,5.5,5.5,313,5584
Man Utd,D,José Diogo,Dalot Teixeira,Dalot,5,4.8,314,7281
Man Utd,M,Mason,Greenwood,Greenwood,7.5,7.0,315,7490
Man Utd,M,Tahith,Chong,Chong,4.5,4.4,316,7439
Man Utd,M,James,Garner,Garner,4.5,4.4,317,7438
Man Utd,D,Brandon,Williams,Williams,4.5,4.2,318,8075
Man Utd,D,Teden,Mengi,Mengi,4,3.9,319,-1
Newcastle,F,Andy,Carroll,Carroll,5.5,5.2,320,537
Newcastle,M,Jonjo,Shelvey,Shelvey,5.5,5.3,321,769
Newcastle,M,Matt,Ritchie,Ritchie,5,4.9,322,461
Newcastle,D,Federico,Fernández,Fernández,5,4.7,323,708
Newcastle,D,Ciaran,Clark,Clark,4.5,4.5,324,875
Newcastle,G,Karl,Darlow,Darlow,5,5.0,325,780
Newcastle,G,Martin,Dubravka,Dubravka,5,4.8,326,6532
Newcastle,D,Florian,Lejeune,Lejeune,4.5,4.3,327,5073
Newcastle,D,Jamaal,Lascelles,Lascelles,4.5,4.2,328,766
Newcastle,F,Dwight,Gayle,Gayle,6,5.9,329,743
Newcastle,M,Christian,Atsu,Atsu,5.5,5.2,330,2344
Newcastle,D,Paul,Dummett,Dummett,4.5,4.4,331,853
Newcastle,D,Javier,Manquillo,Manquillo,4.5,4.2,332,1719
Newcastle,D,Emil,Krafth,Krafth,4.5,4.2,333,1545
Newcastle,D,Fabian,Schär,Schär,5,4.9,334,76
Newcastle,D,DeAndre,Yedlin,Yedlin,4.5,4.3,335,727
Newcastle,M,Isaac,Hayden,Hayden,5,4.7,336,6062
Newcastle,M,Rolando,Aarons,Aarons,5,4.8,337,915
Newcastle,M,Allan,Saint-Maximin,Saint-Maximin,5.5,5.1,338,101
Newcastle,M,Miguel,Almirón,Almirón,6,5.6,339,7420
Newcastle,F,Joelinton Cássio,Apolinário de Lira,Joelinton,6,5.7,340,87
Newcastle,F,Yoshinori,Muto,Muto,5,4.8,341,47
Newcastle,D,Kelland,Watts,Watts,4,3.9,342,7602
Sheffield Utd,F,Billy,Sharp,Sharp,6,5.5,343,7712
Sheffield Utd,F,David,McGoldrick,McGoldrick,5.5,5.2,344,7711
Sheffield Utd,D,Chris,Basham,Basham,5,4.6,345,7704
Sheffield Utd,M,John,Fleck,Fleck,6,5.6,346,7709
Sheffield Utd,D,Enda,Stevens,Stevens,5.5,5.0,347,7707
Sheffield Utd,G,Simon,Moore,Moore,4.5,4.3,348,7715
Sheffield Utd,M,Oliver,Norwood,Norwood,5,4.5,349,7710
Sheffield Utd,G,Wes,Foderingham,Foderingham,4.5,4.3,350,-1
Sheffield Utd,D,George,Baldock,Baldock,5.5,4.9,351,7706
Sheffield Utd,D,Jack,Robinson,Jack Robinson,4.5,4.2,352,8286
Sheffield Utd,D,John,Egan,Egan,5,4.7,353,7703
Sheffield Utd,D,Jack,O'Connell,O'Connell,5,4.7,354,7705
Sheffield Utd,M,John,Lundstram,Lundstram,5.5,4.9,355,7708
Sheffield Utd,M,Ben,Osborn,Osborn,5,4.7,356,7714
Sheffield Utd,F,Oliver,McBurnie,McBurnie,6,5.6,357,1736
West Brom,F,Callum,Robinson,Callum Robinson,5.5,5.4,358,4476
Sheffield Utd,F,Lys,Mousset,Mousset,6,5.8,359,1748
Sheffield Utd,M,Sander,Berge,Berge,5,4.9,360,8285
Southampton,F,Shane,Long,Long,5.5,5.1,361,839
Southampton,D,Ryan,Bertrand,Bertrand,5,5.0,362,835
Southampton,G,Alex,McCarthy,McCarthy,4.5,4.6,363,635
Southampton,M,Oriol,Romeu Vidal,Oriol Romeu,4.5,4.5,364,842
Southampton,M,Nathan,Redmond,Redmond,6.5,6.4,365,790
Southampton,F,Danny,Ings,Ings,8.5,8.4,366,986
Southampton,D,Jack,Stephens,Stephens,5,4.6,367,1735
Southampton,M,Stuart,Armstrong,Armstrong,5.5,5.5,368,6893
Southampton,D,Jannik,Vestergaard,Vestergaard,4.5,4.7,369,111
Southampton,M,James,Ward-Prowse,Ward-Prowse,6,6.0,370,843
Southampton,G,Angus,Gunn,Gunn,4.5,4.3,371,5544
Southampton,M,Sofiane,Boufal,Boufal,5.5,5.4,372,1734
Fulham,M,Harrison,Reed,Reed,4.5,4.4,373,910
Southampton,M,Josh,Sims,Sims,4.5,4.3,374,5565
Southampton,D,Kyle,Walker-Peters,Walker-Peters,4.5,4.7,375,885
Southampton,D,Jan,Bednarek,Bednarek,4.5,4.9,376,6042
Southampton,F,Che,Adams,Adams,6,5.8,377,7700
Southampton,D,Yan,Valery,Valery,5,4.7,378,7280
Southampton,M,William,Smallbone,Smallbone,4.5,4.4,379,8224
Southampton,D,Jake,Vokins,Vokins,4,3.9,380,8493
Southampton,F,Michael,Obafemi,Obafemi,5,4.6,381,6504
Southampton,M,Moussa,Djenepo,Djenepo,5.5,5.4,382,7701
Spurs,G,Hugo,Lloris,Lloris,5.5,5.6,383,637
Spurs,D,Danny,Rose,Rose,5,4.7,384,641
Spurs,M,Moussa,Sissoko,Sissoko,5,4.8,385,772
Spurs,D,Toby,Alderweireld,Alderweireld,5.5,5.4,386,639
Spurs,M,Erik,Lamela,Lamela,6,5.7,387,644
Spurs,F,Harry,Kane,Kane,10.5,11.0,388,647
Spurs,D,Serge,Aurier,Aurier,5.5,5.2,389,3600
Spurs,M,Heung-Min,Son,Son,9,9.7,390,453
Spurs,D,Eric,Dier,Dier,5,5.0,391,643
Spurs,M,Lucas,Rodrigues Moura da Silva,Lucas Moura,7,6.6,392,3293
Spurs,G,Paulo,Gazzaniga,Gazzaniga,4.5,4.3,393,973
Spurs,M,Bamidele,Alli,Alli,8,7.4,394,645
Spurs,D,Ben,Davies,Davies,5,4.6,395,660
Spurs,M,Pierre-Emile,Højbjerg,Højbjerg,5,4.9,396,343
Spurs,M,Harry,Winks,Winks,5.5,5.2,397,971
Spurs,D,Davinson,Sánchez,Sánchez,5.5,5.2,398,6249
Spurs,D,Ryan,Sessegnon,Sessegnon,5,4.7,399,6837
Spurs,M,Steven,Bergwijn,Bergwijn,7.5,7.0,400,8300
Spurs,M,Gedson,Carvalho Fernandes,Fernandes,5,4.7,401,8257
Spurs,D,Japhet,Tanganga,Tanganga,5,4.9,402,8222
Spurs,M,Giovani,Lo Celso,Lo Celso,7,6.9,403,5681
Spurs,M,Oliver,Skipp,Skipp,4.5,4.4,404,7198
Spurs,M,Tanguy,Ndombele,Ndombele,6,5.9,405,5962
Spurs,D,Juan,Foyth,Foyth,4.5,4.3,406,6306
West Brom,D,Kieran,Gibbs,Gibbs,4.5,4.3,407,545
West Brom,F,Hal,Robson-Kanu,Robson-Kanu,5.5,5.2,408,1738
West Brom,M,Jake,Livermore,Livermore,5,4.7,409,1689
West Brom,M,Kamil,Grosicki,Grosicki,5.5,5.2,410,3231
West Brom,M,Matt,Phillips,Phillips,5.5,5.1,411,1737
West Brom,D,Kyle,Bartley,Bartley,4.5,4.4,412,964
West Brom,M,Romaine,Sawyers,Sawyers,5,4.7,413,8757
West Brom,D,Ahmed El-Sayed,Hegazy,Hegazi,4.5,4.1,414,3979
West Brom,F,Charlie,Austin,Austin,5.5,5.1,415,848
West Brom,F,Kenneth,Zohore,Zohore,5,4.8,416,6928
West Brom,G,Sam,Johnstone,Johnstone,4.5,4.5,417,978
West Brom,D,Conor,Townsend,Townsend,4.5,4.4,418,8905
West Brom,D,Oluwasemilogo Adesewo Ibidapo,Ajayi,Ajayi,5,4.8,419,4490
West Brom,M,Jonathan,Leko,Leko,4.5,4.5,420,879
West Brom,M,Kyle,Edwards,Edwards,5,4.7,421,8758
West Brom,D,Darnell,Furlong,Furlong,4.5,4.5,422,4391
West Brom,M,Sam,Field,Field,5,4.8,423,1013
Sheffield Utd,M,Oliver,Burke,Burke,4.5,4.2,424,5256
West Brom,D,Dara,O'Shea,O'Shea,4.5,4.3,425,8756
West Brom,M,Rekeem,Harper,Harper,4.5,4.3,426,5562
West Ham,M,Mark,Noble,Noble,5,4.6,427,533
West Brom,M,Robert,Snodgrass,Snodgrass,6,5.6,428,1691
West Ham,G,David,Martin,Martin,4,4.0,429,8082
West Ham,G,Darren,Randolph,Randolph,4.5,4.4,430,540
West Ham,G,Lukasz,Fabianski,Fabianski,5,5.1,431,706
West Ham,D,Angelo,Ogbonna,Ogbonna,5,5.0,432,528
West Ham,G,Roberto,Jimenez Gago,Roberto,4.5,4.5,433,5087
West Ham,M,Jack,Wilshere,Wilshere,5,4.9,434,1036
West Ham,D,Aaron,Cresswell,Cresswell,5,5.6,435,534
West Ham,M,Andriy,Yarmolenko,Yarmolenko,6,5.5,436,6274
West Ham,F,Michail,Antonio,Antonio,6.5,6.7,437,531
West Ham,D,Ryan,Fredericks,Fredericks,4.5,4.2,438,6891
