id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
223,Joshua Kimmich,Bayern Munich,2,2,0,-,1,1,0,-,-,-,-,-,0,1,1,3,-,11
7831,Stefan Lainer,Borussia M.Gladbach,1,0,1,0,4,0,1,0,0,1,1,0,0,2,0,0,0,11
7075,Borna Sosa,VfB Stuttgart,-,1,2,-,-,2,0,1,1,2,1,0,0,0,0,1,-,11
604,Emre Can,Borussia Dortmund,0,1,1,0,-,-,-,0,1,1,1,0,3,0,3,0,-,11
176,Sven Schipplock,Arminia Bielefeld,2,0,1,1,2,0,0,0,0,1,1,1,0,0,1,1,-,11
116,Florian Grillitsch,Hoffenheim,-,0,0,0,-,1,2,0,0,3,2,-,3,-,-,-,-,11
2668,Martin Hinteregger,Eintracht Frankfurt,2,1,1,1,0,0,2,1,0,0,0,1,1,0,0,1,-,11
81,Jonathan Schmid,Freiburg,0,2,1,1,0,0,0,2,2,1,0,1,0,0,-,-,-,10
186,Karim Bellarabi,Bayer Leverkusen,0,1,5,0,0,0,0,0,-,2,1,1,-,0,-,-,-,10
7900,Sargis Adamyan,Hoffenheim,-,-,-,-,0,1,5,-,-,-,-,-,2,0,1,1,0,10
5680,Thomas Meunier,Borussia Dortmund,0,2,2,1,1,1,0,1,0,-,-,-,0,0,0,1,1,10
3603,Corentin Tolisso,Bayern Munich,2,0,1,2,-,-,1,-,0,-,0,0,0,3,-,1,-,10
69,Carlos Gruezo,Augsburg,0,1,0,1,1,0,2,-,0,2,1,1,0,1,0,0,-,10
283,David Abraham,Eintracht Frankfurt,1,1,0,2,-,1,1,0,0,0,0,1,-,1,2,0,-,10
4291,Marc-Oliver Kempf,VfB Stuttgart,3,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,-,10
8171,Hannes Wolf,Borussia M.Gladbach,0,1,0,0,0,1,1,2,1,0,2,0,0,0,0,0,2,10
7868,Diadie Samassékou,Hoffenheim,0,0,-,1,1,1,0,0,0,1,2,0,-,0,2,1,1,10
5759,Matteo Guendouzi,Hertha Berlin,-,-,-,-,-,0,1,1,0,1,1,0,0,2,1,3,0,10
5659,Nordi Mukiele,RasenBallsport Leipzig,0,1,3,1,0,-,1,-,0,0,0,0,2,-,-,1,-,9
3834,Ishak Belfodil,Hoffenheim,0,-,0,2,-,1,2,-,-,-,0,0,0,1,3,0,-,9
7879,Marius Bülter,Union Berlin,3,0,0,2,0,0,-,-,1,0,1,0,1,-,1,0,-,9
3431,Almamy Touré,Eintracht Frankfurt,-,1,2,2,4,0,0,-,-,-,-,-,-,0,0,0,-,9
1673,Edimilson Fernandes,Mainz 05,-,-,-,1,0,0,1,1,1,1,2,0,2,0,-,-,-,9
5257,Willi Orban,RasenBallsport Leipzig,-,-,2,0,2,0,0,0,0,0,0,0,2,2,0,1,-,9
7439,Tahith Chong,Werder Bremen,0,0,2,-,0,1,3,0,0,3,0,-,0,0,0,-,-,9
8205,Jan Thielmann,FC Cologne,2,1,1,-,-,2,0,0,1,1,0,0,1,0,0,-,-,9
2655,Alfred Finnbogason,Augsburg,0,2,1,-,-,0,0,1,-,-,0,0,4,-,-,1,-,9
7376,Ozan Kabak,Schalke 04,0,0,-,-,-,-,4,-,0,2,0,1,1,0,1,0,-,9
7791,Sebastiaan Bornauw,FC Cologne,0,3,0,0,1,0,1,-,0,1,0,1,0,1,0,1,-,9
419,Maximilian Mittelstädt,Hertha Berlin,0,2,0,2,0,1,-,0,-,0,-,0,1,0,2,0,1,9
3347,Ellyes Skhiri,FC Cologne,1,0,1,0,2,0,-,1,2,0,0,1,0,0,0,0,-,8
7054,Steven Skrzybski,Schalke 04,0,-,-,1,-,-,1,1,3,2,0,-,0,0,-,-,-,8
