id,name,team,1,2,3,total
42,Julian Baumgartlinger,Bayer Leverkusen,0.0,-,0.0,0.0
183,Jonathan Tah,Bayer Leverkusen,-,0.0,-,0.0
5222,Joel Pohjanpalo,Bayer Leverkusen,0.0,-,-,0.0
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.0
82,Nadiem Amiri,Bayer Leverkusen,0.0,0.0,0.0,0.0
225,Javi Martínez,Bayern Munich,-,-,0.0,0.0
8951,Keita Endo,Union Berlin,-,-,0.0,0.0
8787,Nathan de Medina,Arminia Bielefeld,0.0,-,-,0.0
8847,Niklas Tauer,Mainz 05,0.0,-,-,0.0
8341,Lazar Samardzic,RasenBallsport Leipzig,-,-,0.0,0.0
7048,Frederik Rönnow,Schalke 04,-,-,0.0,0.0
7054,Steven Skrzybski,Schalke 04,0.0,-,-,0.0
5356,Breel Embolo,Borussia M.Gladbach,-,-,0.0,0.0
8148,Timo Becker,Schalke 04,0.0,-,-,0.0
207,Ibrahima Traoré,Borussia M.Gladbach,-,-,0.0,0.0
206,Oscar Wendt,Borussia M.Gladbach,0.0,0.0,-,0.0
199,Yann Sommer,Borussia M.Gladbach,0.0,0.0,0.0,0.0
52,Alexander Hack,Mainz 05,-,0.0,0.0,0.0
449,Robin Zentner,Mainz 05,0.0,0.0,0.0,0.0
5133,Aarón Martín,Mainz 05,-,-,0.0,0.0
7073,Pierre Kunde,Mainz 05,-,-,0.0,0.0
7106,Philipp Mwene,Mainz 05,-,-,0.0,0.0
7181,Issah Abass,Mainz 05,0.0,-,-,0.0
433,Nico Schulz,Borussia Dortmund,-,-,0.0,0.0
7807,Luca Kilian,Mainz 05,-,-,0.0,0.0
309,Roman Bürki,Borussia Dortmund,0.0,0.0,-,0.0
8846,Paul Nebel,Mainz 05,0.0,0.0,0.0,0.0
213,Thorgan Hazard,Borussia Dortmund,0.0,-,-,0.0
6708,Bote Baku,Wolfsburg,-,-,0.0,0.0
7053,Pavao Pervan,Wolfsburg,-,0.0,-,0.0
435,Benjamin Henrichs,RasenBallsport Leipzig,0.0,0.0,0.0,0.0
451,Matija Nastasic,Schalke 04,-,-,0.0,0.0
79,Tobias Strobl,Augsburg,0.0,0.0,0.0,0.0
543,Reece Oxford,Augsburg,0.0,0.0,0.0,0.0
