id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
6531,Alexander Sørloth,RasenBallsport Leipzig,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,1,1,0,-,3
8418,Jamal Musiala,Bayern Munich,1,0,0,0,1,-,-,0,-,1,0,0,0,0,-,0,0,0,0,-,-,0,0,-,0,0,3
226,Kingsley Coman,Bayern Munich,-,0,-,0,0,-,0,1,1,0,0,0,0,-,0,0,0,0,0,1,0,0,-,0,0,0,3
8292,Dani Olmo,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
88,Mark Uth,Schalke 04,0,1,0,-,-,0,1,0,0,0,0,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,2
7059,Benito Raman,Schalke 04,0,0,-,0,0,0,0,0,1,0,1,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,2
261,Julian Brandt,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,1,0,2
6490,Manuel Akanji,Borussia Dortmund,0,0,0,-,1,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,-,-,-,-,0,2
8855,Bartosz Bialek,Wolfsburg,-,-,-,-,-,0,-,0,1,-,0,0,0,0,-,-,1,0,0,0,-,0,0,0,0,-,2
4247,Maximilian Philipp,Wolfsburg,-,-,-,0,0,0,0,0,0,0,0,1,-,-,-,0,0,-,-,0,-,0,0,-,1,0,2
22,John Brooks,Wolfsburg,0,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0,0,0,1,0,0,0,-,0,0,0,2
2693,Marius Wolf,FC Cologne,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-,0,0,0,0,0,0,2
4340,Grischa Prömel,Union Berlin,0,0,0,0,-,-,-,0,0,0,1,0,0,0,-,0,-,0,-,-,0,1,0,0,0,0,2
5222,Joel Pohjanpalo,Union Berlin,-,-,1,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2
5235,Aymen Barkok,Eintracht Frankfurt,0,0,0,0,0,0,0,1,-,0,0,1,0,0,0,0,0,-,0,-,-,0,0,-,0,0,2
82,Nadiem Amiri,Bayer Leverkusen,0,0,0,0,0,1,0,0,-,0,0,0,0,1,0,0,0,0,-,-,0,-,0,0,0,0,2
7789,Dominick Drexler,FC Cologne,1,0,0,-,-,1,0,0,0,0,0,-,0,0,-,0,0,0,0,-,0,0,0,0,-,0,2
42,Julian Baumgartlinger,Bayer Leverkusen,0,-,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,2
110,Theodor Gebre Selassie,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
125,Maximilian Eggestein,Werder Bremen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
184,Ömer Toprak,Werder Bremen,-,-,-,0,-,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
8171,Hannes Wolf,Borussia M.Gladbach,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,2
7831,Stefan Lainer,Borussia M.Gladbach,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,2
7883,Marcus Ingvartsen,Union Berlin,0,0,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,2
6096,Sergio Córdova,Arminia Bielefeld,0,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-,0,0,2
5759,Matteo Guendouzi,Hertha Berlin,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,2
223,Joshua Kimmich,Bayern Munich,0,1,0,-,0,0,0,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,-,2
7880,Sebastian Andersson,FC Cologne,1,0,0,0,1,0,0,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
8205,Jan Thielmann,FC Cologne,0,0,0,-,-,0,0,0,0,1,0,0,0,0,0,-,1,0,0,0,0,-,0,0,-,0,2
2631,Karim Onisiwo,Mainz 05,0,0,0,0,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,0,2
9326,Robert Glatzel,Mainz 05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,1,2
8813,Tanguy Coulibaly,VfB Stuttgart,-,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
443,Peter Pekarík,Hertha Berlin,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,0,-,-,-,-,-,2
4291,Marc-Oliver Kempf,VfB Stuttgart,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,2
6837,Ryan Sessegnon,Hoffenheim,-,-,-,0,0,0,0,1,0,0,0,0,1,0,-,-,-,-,-,-,-,0,0,0,0,-,2
116,Florian Grillitsch,Hoffenheim,-,0,0,0,-,0,0,0,0,2,0,-,0,-,-,-,-,-,0,0,0,0,0,0,0,0,2
8808,Wataru Endo,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
391,David Alaba,Bayern Munich,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,0,2
5254,Marcel Halstenberg,RasenBallsport Leipzig,0,-,1,0,-,-,-,-,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,2
7049,Evan Ndicka,Eintracht Frankfurt,-,-,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0,1,1,0,-,0,0,0,2
205,Mahmoud Dahoud,Borussia Dortmund,-,0,-,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,1
176,Sven Schipplock,Arminia Bielefeld,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1
7320,Amos Pieper,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8796,Christian Gebauer,Arminia Bielefeld,0,-,-,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-,1,0,0,-,0,0,0,1
8790,Cebio Soukou,Arminia Bielefeld,1,0,0,-,-,-,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,1
38,Daniel Brosinski,Mainz 05,0,0,0,0,0,0,1,0,0,-,0,-,-,0,0,-,-,-,-,-,-,-,-,0,0,0,1
8825,Reinier,Borussia Dortmund,-,0,0,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,0,1,0,-,0,1
5680,Thomas Meunier,Borussia Dortmund,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,1,0,-,-,-,-,0,0,0,0,0,1
52,Alexander Hack,Mainz 05,-,0,0,-,-,-,-,0,0,0,0,0,0,1,0,0,0,-,-,-,-,0,-,-,0,-,1
118,Levin Öztunali,Mainz 05,0,0,-,0,0,0,0,0,0,-,-,-,-,-,0,1,0,0,0,-,-,-,0,-,-,-,1
8958,Reinhold Yabo,Arminia Bielefeld,-,-,0,0,-,0,0,0,0,0,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,-,1
5230,Thomas Delaney,Borussia Dortmund,0,-,0,0,0,0,0,-,-,-,-,-,-,0,0,-,0,-,1,0,0,0,-,0,-,-,1
2663,Felix Passlack,Borussia Dortmund,0,-,1,0,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
604,Emre Can,Borussia Dortmund,0,0,1,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,1
8789,Manuel Prietl,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,1,0,-,0,0,-,-,-,-,-,0,0,0,0,0,0,0,1
9351,Michel Vlap,Arminia Bielefeld,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,-,0,1
9352,Masaya Okugawa,Arminia Bielefeld,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,1,0,1
269,Dominik Kohr,Mainz 05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,0,0,1,1
7108,Jonathan Burkardt,Mainz 05,0,0,0,0,0,0,0,-,0,0,0,0,-,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7109,Leandro Barreiro Martins,Mainz 05,0,0,-,-,0,-,0,0,0,0,-,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,1
8874,Jóan Símun Edmundsson,Arminia Bielefeld,-,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
6352,Valentino Lazaro,Borussia M.Gladbach,-,-,-,-,-,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,1
8951,Keita Endo,Union Berlin,-,-,0,0,0,-,1,-,-,-,0,-,0,-,-,-,0,-,-,0,-,0,-,0,0,0,1
228,Sebastian Rode,Eintracht Frankfurt,0,1,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,1
131,Jonas Hector,FC Cologne,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,1,0,0,1
7786,Rafael Czichos,FC Cologne,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,1,-,0,0,0,0,0,-,0,0,1
8146,Ismail Jakobs,FC Cologne,-,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-,0,0,0,-,0,0,0,0,1,1
9076,Philipp Förster,VfB Stuttgart,-,-,-,-,-,0,-,0,0,0,1,0,-,0,0,-,0,-,0,0,0,0,0,0,0,0,1
8809,Mateo Klimowicz,VfB Stuttgart,0,1,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,-,0,-,0,1
81,Jonathan Schmid,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,1,0,0,0,0,0,0,1
409,Philipp Klement,VfB Stuttgart,0,0,0,-,0,0,-,0,-,0,-,0,0,-,0,0,0,0,-,0,-,-,1,-,-,-,1
4250,Nicolas Höfler,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,1
5292,Manuel Gulde,Freiburg,0,0,0,-,-,-,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,0,1
5654,Baptiste Santamaria,Freiburg,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,1
5242,Stefan Ilsanker,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,-,-,0,-,0,-,0,-,0,0,0,1
2668,Martin Hinteregger,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,1
359,Timothy Chandler,Eintracht Frankfurt,0,-,0,-,0,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,-,1,1
283,David Abraham,Eintracht Frankfurt,0,0,0,0,-,0,1,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,1
5243,Dayotchanculle Upamecano,RasenBallsport Leipzig,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,1
