id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
1903,Kevin Lasagna,Udinese,1,1,1,1,0,0,0,0,-,0,-,0,1,0,2,1,-,8
1577,Marko Pjaca,Genoa,1,1,-,1,0,1,1,-,0,1,1,1,0,0,0,0,0,8
1710,Marten de Roon,Atalanta,1,0,0,2,0,-,-,0,1,0,0,0,1,1,2,0,-,8
1927,Berat Gjimshiti,Atalanta,-,0,0,0,1,0,0,-,0,3,0,0,1,2,1,-,-,8
6021,Lukas Lerager,Genoa,0,0,-,-,2,2,0,3,1,0,0,0,0,0,0,0,0,8
6997,Ignacio Pussetto,Udinese,-,-,-,0,0,1,1,0,0,2,0,2,2,0,-,-,-,8
1230,Fabio Quagliarella,Sampdoria,1,0,2,0,0,1,0,0,2,1,0,-,0,0,0,-,0,7
7013,Matteo Pessina,Atalanta,-,-,-,-,-,1,0,0,-,0,2,0,0,2,1,1,-,7
1496,Roberto Gagliardini,Inter,-,2,1,-,-,1,0,0,0,2,-,0,0,0,0,1,0,7
1168,Bryan Cristante,Roma,0,-,0,2,0,0,0,0,0,0,0,-,0,1,0,4,0,7
3544,Jeremie Boga,Sassuolo,-,-,-,-,0,1,0,1,1,0,0,1,0,1,1,1,0,7
3429,Tiemoué Bakayoko,Napoli,-,-,1,1,0,2,1,-,0,0,0,1,0,1,0,0,-,7
7500,Giacomo Raspadori,Sassuolo,-,-,-,1,3,1,0,1,1,0,0,0,-,0,0,0,-,7
4970,Luca Pellegrini,Genoa,-,0,-,0,0,2,0,1,3,0,1,0,-,-,-,-,-,7
1461,Pol Lirola,Fiorentina,2,1,-,1,0,1,0,1,0,-,1,-,0,-,0,0,-,7
1515,Cristian Ansaldi,Torino,0,-,0,0,-,0,0,3,2,2,-,0,-,-,-,0,-,7
6974,Mattias Svanberg,Bologna,1,-,1,1,0,1,0,1,0,1,0,0,0,0,0,1,-,7
8944,Giulio Maggiore,Spezia,-,1,2,-,-,-,-,1,0,0,0,2,0,0,0,0,1,7
1238,Luca Cigarini,Crotone,2,1,1,1,2,-,0,-,-,-,-,-,-,-,-,-,-,7
6942,Arthur,Juventus,-,1,0,1,0,-,1,2,-,-,0,-,-,0,0,2,-,7
1601,Riccardo Marchizza,Spezia,-,-,0,-,-,-,0,0,-,0,1,2,-,1,3,0,0,7
8828,Ivan Ilic,Verona,0,-,0,4,0,1,0,0,1,-,-,-,0,0,-,1,0,7
3209,Jean-Daniel Akpa-Akpro,Lazio,0,0,1,-,0,1,0,1,1,0,1,-,0,0,0,2,0,7
1763,Stefano Okaka,Udinese,3,1,0,1,1,0,0,1,-,-,-,-,-,-,-,-,-,7
3259,Adam Ounas,Cagliari,-,-,-,0,1,2,2,0,2,-,-,-,-,-,-,-,0,7
6156,Andreas Cornelius,Parma Calcio 1913,1,-,0,-,1,0,-,-,2,1,1,0,0,0,0,0,1,7
1604,Artur Ionita,Benevento,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,7
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,1,1,0,0,0,0,0,1,0,0,0,1,2,0,-,6
411,Albin Ekdal,Sampdoria,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-,1,6
8922,Thomas Ouwejan,Udinese,1,0,0,4,0,0,-,-,-,-,-,-,-,-,1,-,-,6
621,Aleksandar Kolarov,Inter,1,0,-,0,2,3,-,-,-,-,-,-,-,-,0,-,0,6
8963,Nahuel Molina,Udinese,-,-,1,-,2,-,-,-,0,-,0,-,-,1,1,1,-,6
1165,Gastón Brugman,Parma Calcio 1913,1,1,1,1,2,0,-,-,-,0,0,-,0,-,-,-,0,6
8029,Lisandro Magallán,Crotone,2,0,0,0,0,0,0,2,1,-,0,-,0,0,1,0,-,6
7227,Matteo Scozzarella,Parma Calcio 1913,-,-,-,-,-,-,-,-,1,4,-,1,-,-,-,-,-,6
1395,Vlad Chiriches,Sassuolo,0,0,0,2,1,0,-,0,0,-,-,1,-,1,0,-,1,6
1098,Miguel Veloso,Verona,0,0,-,-,-,-,-,1,1,1,1,0,0,1,0,1,-,6
1956,Mohamed Fares,Lazio,-,-,2,0,2,1,1,0,0,-,0,-,-,-,-,-,-,6
8914,Salvador Ferrer,Spezia,0,0,-,0,0,4,1,-,0,0,0,1,-,-,-,-,0,6
1354,Gianmarco Ferrari,Sassuolo,0,2,0,1,0,1,0,1,0,0,0,-,0,0,0,1,0,6
1204,Patric,Lazio,0,0,0,1,0,3,-,2,0,-,-,0,0,0,0,0,0,6
1102,Giovanni Simeone,Cagliari,0,0,1,0,1,0,2,0,-,-,0,0,0,0,0,0,2,6
1484,Rafael Toloi,Atalanta,0,0,-,1,0,1,1,0,1,1,-,0,0,-,1,0,-,6
1448,Erick Pulgar,Fiorentina,-,-,-,0,0,0,1,0,2,1,0,1,-,1,-,-,0,6
6191,Lorenzo Venuti,Fiorentina,0,-,-,-,0,-,0,-,-,-,0,4,0,1,1,0,0,6
4733,José Luis Palomino,Atalanta,0,0,3,1,0,0,-,0,0,0,0,0,0,1,1,0,-,6
8974,Jens Petter Hauge,AC Milan,-,-,0,-,-,-,0,2,0,2,1,0,0,0,-,1,0,6
1424,Federico Bernardeschi,Juventus,-,-,0,0,-,0,2,2,0,0,-,1,1,0,0,0,-,6
7411,Nicolo Rovella,Genoa,-,-,2,0,2,1,0,-,-,-,0,-,-,0,1,0,-,6
2252,Borja Mayoral,Roma,-,-,-,0,-,-,1,1,0,0,1,1,-,0,0,1,0,5
8910,Paolo Bartolomei,Spezia,1,0,0,-,1,3,-,-,-,-,-,-,-,0,-,-,-,5
1115,Goran Pandev,Genoa,0,0,0,0,2,1,0,0,1,-,0,-,0,1,-,-,-,5
7084,Dusan Vlahovic,Fiorentina,0,0,1,0,0,0,-,0,1,0,0,1,0,2,0,0,0,5
4699,Simon Kjaer,AC Milan,0,1,0,0,0,1,0,0,1,-,-,-,-,-,1,1,0,5
1382,José Callejón,Fiorentina,-,-,-,0,0,0,-,-,0,2,1,-,0,-,-,0,2,5
7958,Sandro Tonali,AC Milan,0,1,0,0,-,0,-,-,1,0,0,1,0,0,1,-,1,5
7091,Christian Kouamé,Fiorentina,1,1,1,0,0,0,0,0,0,0,0,0,-,1,0,1,0,5
1246,Kostas Manolas,Napoli,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,-,5
1433,Federico Chiesa,Fiorentina,3,1,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,5
1375,Elseid Hysaj,Napoli,0,1,0,-,2,2,-,-,-,-,-,-,0,-,-,0,-,5
3893,Lukas Haraslin,Sassuolo,4,-,-,-,-,-,-,-,-,1,0,-,-,0,0,-,-,5
1289,Alex Sandro,Juventus,-,-,-,-,-,-,0,-,0,1,1,1,0,2,-,-,-,5
7931,Takehiro Tomiyasu,Bologna,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,5
8161,Ebrima Colley,Verona,-,1,1,1,0,0,0,0,0,0,0,0,1,0,1,-,0,5
1334,Perparim Hetemaj,Benevento,0,0,0,1,-,-,-,1,1,0,0,0,2,-,0,0,0,5
3291,Adrien Rabiot,Juventus,0,0,0,2,0,2,0,0,0,0,0,-,-,-,0,1,-,5
1210,Keita,Sampdoria,-,-,-,0,1,0,-,-,-,-,-,-,-,2,-,0,2,5
1104,Leonardo Pavoletti,Cagliari,-,0,0,0,0,0,0,0,0,1,2,-,0,0,0,2,0,5
1425,Nikola Kalinic,Verona,-,-,-,0,0,0,1,1,-,-,-,-,-,-,1,0,2,5
1106,Darko Lazovic,Verona,-,-,0,0,2,0,1,-,-,1,0,1,0,0,0,-,-,5
4912,Paolo Faragò,Cagliari,1,0,0,-,0,0,-,-,1,1,2,-,-,-,-,-,-,5
9022,Amer Gojak,Torino,-,-,-,-,-,0,0,-,-,-,0,0,2,-,1,2,0,5
308,Ricardo Rodríguez,Torino,-,-,0,1,0,0,0,-,0,1,0,-,1,1,0,-,0,4
2303,Samu Castillejo,AC Milan,0,0,-,1,0,-,-,0,-,0,0,0,0,0,2,0,1,4
1639,Sebastiano Luperto,Crotone,-,-,-,0,0,1,0,-,2,0,0,-,1,0,0,-,0,4
1541,Stefan de Vrij,Inter,-,0,0,0,-,1,0,0,0,0,2,0,1,0,0,0,0,4
7218,Cristian Romero,Atalanta,-,0,0,1,-,0,0,0,-,0,0,0,1,1,-,1,-,4
1387,Faouzi Ghoulam,Napoli,-,0,0,0,-,-,-,-,-,2,0,2,-,0,-,-,-,4
8819,Mergim Vojvoda,Torino,0,1,1,1,0,0,0,-,-,-,0,1,0,0,-,0,-,4
1942,Martín Cáceres,Fiorentina,1,0,0,0,0,0,0,-,0,0,-,0,-,0,0,-,3,4
6242,Johan Mojica,Atalanta,0,0,0,1,0,1,0,-,2,0,-,0,0,-,-,-,-,4
