id,name,team,1,2,3,4,total
6132,Marco Silvestri,Verona,0.3509,0.0,0.0,0.0552,0.4061
1537,Sasa Lukic,Torino,0.0329,0.0,0.3724,-,0.4053
505,David Ospina,Napoli,0.1399,-,0.2646,-,0.4045
1460,Andrea Consigli,Sassuolo,0.0694,0.1758,0.0,0.1551,0.4003
1210,Keita,Sampdoria,-,-,-,0.3981,0.3981
1555,Bartlomiej Dragowski,Fiorentina,0.0,0.0,0.3965,0.0,0.3965
1380,Amadou Diawara,Roma,0.3538,0.0371,-,-,0.3909
1246,Kostas Manolas,Napoli,0.2249,0.0825,0.0778,-,0.3852
3291,Adrien Rabiot,Juventus,0.3316,0.0,0.0512,-,0.3828
6125,Stanislav Lobotka,Napoli,0.0,0.1641,0.2142,-,0.3783
8007,Yildirim Mert Cetin,Verona,0.3509,0.0,0.0204,-,0.3713
1399,Bruno Alves,Parma Calcio 1913,0.1164,0.1333,0.1176,-,0.3673
7958,Sandro Tonali,AC Milan,0.0,0.1616,0.1964,0.0,0.358
6986,Hamed Junior Traore,Sassuolo,-,0.0838,0.0,0.2723,0.3561
1206,Danilo Cataldi,Lazio,0.0,0.3538,-,0.0,0.3538
7932,Stefano Denswil,Bologna,-,0.3526,0.0,-,0.3526
4943,Emanuel Vignato,Bologna,0.0,-,0.3463,-,0.3463
8882,Daam Foulon,Benevento,0.2767,0.0,0.0294,0.0292,0.3353
2303,Samu Castillejo,AC Milan,0.0,0.0,-,0.334,0.334
1116,Gianluigi Donnarumma,AC Milan,0.1605,0.0221,0.1459,0.0,0.3285
570,Valon Behrami,Genoa,0.3236,0.0,0.0,-,0.3236
1287,Leonardo Bonucci,Juventus,0.307,0.0,0.0157,-,0.3227
6211,Mehdi Leris,Sampdoria,0.0206,-,0.2983,0.0,0.3189
4912,Paolo Faragò,Cagliari,0.1775,0.0487,0.0922,-,0.3184
8884,Alessandro Tuia,Benevento,0.0,0.3162,0.0,-,0.3162
1410,Rafael,Spezia,-,0.3084,0.0,-,0.3084
5028,Gianluca Frabotta,Juventus,0.292,0.0,0.0,-,0.292
8916,Simone Bastoni,Spezia,-,-,-,0.2844,0.2844
1392,Luigi Sepe,Parma Calcio 1913,0.0,0.0,0.1657,0.1183,0.284
1377,Nikola Maksimovic,Napoli,-,0.2832,-,-,0.2832
8478,Lorenzo Colombo,AC Milan,-,0.1097,0.1683,-,0.278
1302,Emil Audero,Sampdoria,0.0,0.0,0.2709,0.0,0.2709
8819,Mergim Vojvoda,Torino,0.0,0.136,0.1203,-,0.2563
7950,Mert Müldür,Sassuolo,0.056,0.0838,0.0927,0.0222,0.2547
8856,Razvan Marin,Cagliari,0.1187,0.0487,0.0709,0.0149,0.2532
1852,Ante Rebic,AC Milan,0.1801,0.0685,-,-,0.2486
6242,Johan Mojica,Atalanta,0.0,0.0,0.1334,0.1084,0.2418
8926,Milos Vulic,Crotone,-,0.0,0.176,0.0577,0.2337
3340,Bryan Dabo,Benevento,0.1736,0.0,0.0294,0.0261,0.2291
7014,Arkadiusz Reca,Crotone,-,0.0,0.0164,0.2004,0.2168
8029,Lisandro Magallán,Crotone,0.0883,0.0,0.0335,0.0929,0.2147
3632,Kevin Malcuit,Napoli,-,-,0.2142,-,0.2142
1493,Andrea Petagna,Napoli,0.0,-,0.2142,-,0.2142
7472,Wilfried Stephane Singo,Torino,-,-,0.1998,-,0.1998
5246,Diego Demme,Napoli,0.1973,-,0.0,-,0.1973
6362,Rick Karsdorp,Roma,0.1898,-,-,-,0.1898
6252,Lyanco,Torino,-,-,0.1883,-,0.1883
1370,Federico Ceccherini,Verona,-,-,-,0.1839,0.1839
1425,Nikola Kalinic,Verona,-,-,-,0.1821,0.1821
5954,Eldor Shomurodov,Genoa,-,-,0.1815,-,0.1815
2143,Germán Pezzella,Fiorentina,-,-,-,0.1812,0.1812
8828,Ivan Ilic,Verona,0.0,-,0.0471,0.13,0.1771
2019,Federico Bonazzoli,Torino,-,-,0.166,-,0.166
7375,Roberto Piccoli,Spezia,-,-,0.0731,0.0888,0.1619
1251,Radja Nainggolan,Inter,0.158,-,-,-,0.158
7411,Nicolo Rovella,Genoa,-,-,0.1509,-,0.1509
6312,Rogerio,Sassuolo,0.1499,-,-,-,0.1499
8837,Vladimir Golemic,Crotone,0.0181,0.0,0.1015,0.0224,0.142
8883,Riccardo Improta,Benevento,0.1019,-,0.0,0.0397,0.1416
3927,Alessio Cragno,Cagliari,0.0286,0.0308,0.0,0.0819,0.1413
1504,Alberto Grassi,Parma Calcio 1913,0.0494,0.0,0.0637,0.025,0.1381
1510,Gary Medel,Bologna,-,0.1087,0.0269,-,0.1356
1185,Iago Falque,Benevento,-,-,0.1327,0.0,0.1327
7096,Omar Colley,Sampdoria,0.0926,0.0386,-,-,0.1312
8010,Kevin Agudelo,Spezia,0.0559,-,0.0291,0.0448,0.1298
1445,Simone Verdi,Torino,0.0,0.0298,0.0995,-,0.1293
6971,Mitchell Dijks,Bologna,0.1276,-,-,-,0.1276
1624,Fabio Depaoli,Sampdoria,0.0502,0.0764,-,-,0.1266
308,Ricardo Rodríguez,Torino,-,-,0.1203,-,0.1203
2042,Lubomir Tupta,Verona,0.0916,-,0.0266,-,0.1182
6997,Ignacio Pussetto,Udinese,-,-,-,0.1103,0.1103
3429,Tiemoué Bakayoko,Napoli,-,-,0.1095,-,0.1095
4918,Patrick Cutrone,Fiorentina,0.1083,0.0,0.0,0.0,0.1083
8298,Lennart Czyborra,Genoa,0.0,-,0.1051,-,0.1051
1485,Andrea Masiello,Genoa,-,0.0,0.1051,-,0.1051
8975,Gennaro Acampora,Spezia,-,-,0.0,0.1051,0.1051
3536,Jean-Victor Makengo,Udinese,-,-,-,0.102,0.102
1351,Alex Cordaz,Crotone,0.0,0.0,0.1015,0.0,0.1015
6989,Simone Iacoponi,Parma Calcio 1913,0.084,0.0,-,0.0169,0.1009
6181,Luca Mora,Spezia,0.0999,-,0.0,-,0.0999
591,Gerard Deulofeu,Udinese,-,-,-,0.0973,0.0973
4917,Niccolò Zanellato,Crotone,0.0771,0.02,-,-,0.0971
1639,Sebastiano Luperto,Crotone,-,-,-,0.0939,0.0939
8252,Nicolás Domínguez,Bologna,0.0939,-,-,0.0,0.0939
7609,Carles Pérez,Roma,-,-,0.0,0.0923,0.0923
6277,Fabrizio Caligara,Cagliari,0.0,0.0,0.0922,0.0,0.0922
1104,Leonardo Pavoletti,Cagliari,-,0.0,0.0922,0.0,0.0922
9002,Vedat Muriqi,Lazio,-,-,-,0.0884,0.0884
1643,Luca Marrone,Crotone,0.0181,0.0,0.0,0.0689,0.087
6303,Marvin Zeegelaar,Udinese,0.0147,0.0717,-,-,0.0864
7097,Ronaldo Vieira,Verona,-,-,-,0.0861,0.0861
6156,Andreas Cornelius,Parma Calcio 1913,0.084,-,0.0,-,0.084
557,Matteo Darmian,Parma Calcio 1913,0.0495,0.0,0.0341,-,0.0836
6129,Nícolas,Udinese,-,-,-,0.0775,0.0775
1624,Fabio Depaoli,Atalanta,-,-,-,0.0766,0.0766
8030,Sebastian Walukiewicz,Cagliari,0.0587,0.0178,0.0,0.0,0.0765
1601,Riccardo Marchizza,Spezia,-,-,0.0731,-,0.0731
7923,Pawel Dawidowicz,Verona,-,0.0729,-,-,0.0729
1422,Borja Valero,Fiorentina,0.0472,0.0248,-,-,0.072
8487,Martin Palumbo,Udinese,-,0.0717,-,-,0.0717
3301,Salvatore Sirigu,Torino,0.0,0.0,0.068,-,0.068
1595,Bastos,Lazio,-,0.0678,0.0,-,0.0678
8944,Giulio Maggiore,Spezia,-,0.0306,0.0339,-,0.0645
1846,Luca Siligardi,Parma Calcio 1913,0.0495,0.0106,-,-,0.0601
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,0.0,0.0592,0.0592
7417,Christian Oliva,Cagliari,0.0588,-,-,-,0.0588
8827,Kevin Rüegg,Verona,0.0587,-,-,-,0.0587
3209,Jean-Daniel Akpa-Akpro,Lazio,0.0,0.0,0.0542,-,0.0542
1424,Federico Bernardeschi,Juventus,-,-,0.0512,-,0.0512
1426,Josip Ilicic,Atalanta,-,-,-,0.0504,0.0504
7940,Denis Vavro,Lazio,-,-,-,0.0501,0.0501
1334,Perparim Hetemaj,Benevento,0.0,0.0,0.0082,0.0397,0.0479
6191,Lorenzo Venuti,Fiorentina,0.0472,-,-,-,0.0472
1153,Ryder Matos,Udinese,-,0.0468,-,-,0.0468
8841,Tomislav Gomelt,Crotone,0.0,-,0.045,-,0.045
6972,Federico Santander,Bologna,0.0,0.0445,-,0.0,0.0445
1383,Manolo Gabbiadini,Sampdoria,-,0.043,-,-,0.043
1313,Riccardo Saponara,Fiorentina,-,-,0.0413,-,0.0413
1274,Andrea Rispoli,Crotone,0.0181,0.0,0.0,0.0224,0.0405
6253,Gianluca Scamacca,Genoa,-,-,0.0397,-,0.0397
1340,Roberto Inglese,Parma Calcio 1913,0.0384,-,-,-,0.0384
8840,Denis Dragus,Crotone,0.0,0.02,0.0164,-,0.0364
1341,Ivan Radovanovic,Genoa,0.0,0.0,0.0348,-,0.0348
1244,Wojciech Szczesny,Juventus,0.0344,0.0,-,-,0.0344
1120,Mattia De Sciglio,Juventus,0.0344,-,-,-,0.0344
265,Ragnar Klavan,Cagliari,0.0286,0.0,0.0,0.0,0.0286
8953,Antonio Palumbo,Sampdoria,-,-,0.0274,-,0.0274
8908,Jeroen Zoet,Spezia,0.0274,0.0,-,-,0.0274
2053,Martin Erlic,Spezia,0.0274,0.0,0.0,-,0.0274
1106,Darko Lazovic,Verona,-,-,0.0,0.0271,0.0271
6203,Eddie Salcedo,Verona,-,-,0.0266,0.0,0.0266
