id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
1121,Giacomo Bonaventura,Fiorentina,82,63,90,79,81,57,7,-,42,50,90,89,63,7,12,74,90,15,991
1305,Lukasz Skorupski,Bologna,90,90,90,90,90,90,90,90,90,90,-,-,-,-,-,-,-,90,990
7472,Wilfried Stephane Singo,Torino,-,-,10,28,19,77,23,90,90,90,90,13,-,90,90,90,90,90,980
1609,Antonio Mirante,Roma,90,90,90,90,90,90,-,90,90,90,-,-,90,76,-,-,-,-,976
6303,Marvin Zeegelaar,Udinese,64,65,-,-,-,-,90,90,61,90,90,90,75,90,61,16,88,-,970
1639,Sebastiano Luperto,Crotone,-,-,-,83,90,90,89,-,90,90,90,-,90,90,71,-,90,7,970
7218,Cristian Romero,Atalanta,-,43,90,90,-,73,90,90,-,75,90,49,90,90,-,90,-,-,960
1264,Edoardo Goldaniga,Genoa,90,90,20,90,90,49,-,42,90,90,90,90,76,-,-,17,-,34,958
6262,Jens Stryger Larsen,Udinese,-,-,-,-,-,82,90,90,90,90,10,90,90,90,78,74,84,-,958
2040,Paolo Ghiglione,Genoa,90,34,90,90,-,90,18,90,83,54,-,90,90,63,-,31,44,-,957
308,Ricardo Rodríguez,Torino,-,-,89,89,90,33,68,-,71,90,90,-,90,89,90,-,67,-,956
1089,Juan Cuadrado,Juventus,78,90,34,90,90,90,90,90,90,90,90,14,17,-,-,-,-,-,953
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,25,90,90,90,90,90,18,2,90,63,90,90,90,32,-,-,950
7193,Rafael Leão,AC Milan,-,4,86,64,72,72,78,-,-,-,41,90,90,83,90,90,88,-,948
7923,Pawel Dawidowicz,Verona,-,1,-,-,-,44,63,90,90,90,90,89,90,30,90,49,43,89,948
1204,Patric,Lazio,90,90,90,90,90,90,-,80,80,-,-,31,5,90,48,43,4,19,940
1233,Filip Djuricic,Sassuolo,90,90,90,83,90,-,-,75,60,75,57,9,60,-,-,76,51,28,934
3291,Adrien Rabiot,Juventus,90,64,20,90,26,90,70,90,72,68,64,-,-,-,90,39,60,-,933
1370,Federico Ceccherini,Verona,-,-,-,90,57,90,90,70,75,90,-,38,90,90,14,90,47,-,931
8837,Vladimir Golemic,Crotone,90,90,90,7,90,-,-,-,28,-,-,90,-,90,86,90,90,90,931
8926,Milos Vulic,Crotone,-,15,79,74,28,90,87,80,62,55,7,-,42,90,4,43,90,83,929
3739,Soualiho Meité,Torino,72,90,80,90,90,34,82,90,90,90,47,47,23,1,-,-,-,-,926
1903,Kevin Lasagna,Udinese,90,90,90,68,71,19,4,20,-,7,-,36,90,76,90,83,90,-,924
6212,Mattia Bani,Genoa,-,-,70,90,-,41,90,90,90,90,90,90,90,-,-,-,90,-,921
6156,Andreas Cornelius,Parma Calcio 1913,90,-,25,-,90,48,-,-,90,88,70,17,61,29,90,42,90,90,920
222,Arturo Vidal,Inter,13,53,75,85,80,30,70,90,90,71,-,-,22,17,47,6,84,79,912
6980,Francesco Caputo,Sassuolo,90,90,90,90,90,-,78,-,-,-,-,27,41,75,56,60,51,73,911
1804,Álvaro Morata,Juventus,-,60,90,90,80,90,70,90,-,22,86,90,47,-,-,1,90,-,906
505,David Ospina,Napoli,90,-,90,-,90,90,-,-,90,-,90,90,-,90,90,-,90,-,900
1433,Federico Chiesa,Juventus,-,-,60,-,90,-,3,72,90,85,77,8,90,76,63,90,90,-,894
8522,Matteo Lovato,Verona,72,90,44,90,90,46,90,-,31,35,90,52,-,32,-,41,90,-,893
1792,Mário Rui,Napoli,-,-,-,90,19,-,90,90,90,30,86,64,18,88,90,42,90,-,887
8297,Alexis Saelemaekers,AC Milan,43,66,90,65,72,57,46,76,90,79,-,37,82,68,-,-,-,8,879
631,Ashley Young,Inter,67,66,21,-,-,10,83,76,9,-,31,88,82,90,76,49,57,74,879
1841,Pierluigi Gollini,Atalanta,-,-,-,-,-,-,-,90,67,90,90,90,90,90,90,90,90,-,877
6160,Riccardo Orsolini,Bologna,58,1,20,90,83,90,90,86,17,-,-,-,-,24,75,78,74,76,862
9065,Nahuel Estévez,Spezia,-,-,-,-,36,14,84,77,64,90,90,81,-,75,89,-,83,71,854
1341,Ivan Radovanovic,Genoa,21,18,90,29,4,-,72,-,-,82,83,5,30,90,58,90,90,90,852
1334,Perparim Hetemaj,Benevento,8,19,65,4,-,-,-,90,90,90,46,81,90,-,49,90,32,90,844
5700,Yann Karamoh,Parma Calcio 1913,21,82,65,90,37,-,35,28,75,46,70,74,44,90,76,9,-,-,842
475,Lucas Leiva,Lazio,63,50,82,76,41,43,-,90,40,74,66,-,-,-,71,-,73,67,836
3544,Jeremie Boga,Sassuolo,-,-,-,-,29,82,65,81,90,75,33,81,30,90,68,90,18,-,832
1168,Bryan Cristante,Roma,90,-,7,90,14,11,27,90,90,90,90,-,13,75,22,81,9,28,827
8828,Ivan Ilic,Verona,9,-,90,90,37,90,69,70,59,-,-,-,16,41,-,66,90,90,817
1106,Darko Lazovic,Verona,-,-,46,90,90,90,90,-,-,55,2,62,74,34,90,-,-,90,813
448,Ivan Perisic,Inter,81,24,69,90,58,90,16,14,86,90,47,-,8,73,14,41,11,-,812
7902,Matthijs de Ligt,Juventus,-,-,-,-,-,-,90,90,90,90,90,90,89,90,90,-,-,-,809
3772,Maxime Lopez,Sassuolo,-,-,-,27,62,90,90,82,77,48,57,-,90,-,56,-,39,90,808
4348,Tolgay Arslan,Udinese,64,-,63,68,56,63,90,69,61,-,90,-,67,-,29,74,13,-,807
1445,Simone Verdi,Torino,18,24,10,74,72,57,82,41,19,-,-,-,62,90,71,17,90,78,805
6974,Mattias Svanberg,Bologna,9,-,81,67,75,83,28,69,78,63,48,35,78,24,2,48,-,15,803
2264,Diego Godín,Cagliari,-,-,85,90,90,90,90,-,-,-,-,-,90,87,-,-,90,90,802
8012,Yordan Osorio,Parma Calcio 1913,-,-,-,-,-,-,90,63,90,90,90,90,90,84,62,-,48,-,797
8912,Tommaso Pobega,Spezia,79,22,80,-,54,76,78,48,-,-,58,9,-,-,67,43,90,89,793
6750,Gonzalo Villar,Roma,1,-,1,13,4,-,1,80,42,90,90,61,6,90,68,90,90,62,789
1281,Giuseppe Pezzella,Parma Calcio 1913,90,-,90,90,90,90,90,85,-,-,-,27,-,-,-,58,-,76,786
8884,Alessandro Tuia,Benevento,8,43,14,-,36,44,-,-,15,80,90,46,81,90,65,90,-,78,780
1809,Joaquín Correa,Lazio,71,-,90,90,66,74,90,63,90,-,24,90,-,31,-,-,-,-,779
