id,name,team,1,2,total
1473,Matteo Politano,Napoli,0,0,0
5246,Diego Demme,Napoli,0,-,0
448,Ivan Perisic,Inter,0,-,0
222,Arturo Vidal,Inter,0,-,0
7006,Lautaro Martínez,Inter,0,-,0
1523,Danilo D'Ambrosio,Inter,0,-,0
594,Romelu Lukaku,Inter,0,-,0
6125,Stanislav Lobotka,Napoli,0,0,0
1098,Miguel Veloso,Verona,0,0,0
2447,Fabián,Napoli,0,0,0
7912,Eljif Elmas,Napoli,0,0,0
1892,Alex Meret,Napoli,-,0,0
1493,Andrea Petagna,Napoli,0,-,0
1387,Faouzi Ghoulam,Napoli,-,0,0
1377,Nikola Maksimovic,Napoli,-,0,0
1376,Kalidou Koulibaly,Napoli,0,0,0
1246,Kostas Manolas,Napoli,0,0,0
505,David Ospina,Napoli,0,-,0
7939,Morten Thorsby,Sampdoria,0,0,0
6211,Mehdi Leris,Sampdoria,0,-,0
1272,Ilija Nestorovski,Udinese,0,-,0
4907,Bartosz Bereszynski,Sampdoria,0,0,0
1114,Davide Biraschi,Genoa,0,0,0
1093,Mattia Perin,Genoa,0,-,0
570,Valon Behrami,Genoa,0,0,0
1580,Mattia Destro,Genoa,0,0,0
1577,Marko Pjaca,Genoa,0,0,0
1178,Davide Zappacosta,Genoa,0,0,0
1115,Goran Pandev,Genoa,0,0,0
8922,Thomas Ouwejan,Udinese,0,-,0
7095,Juan Musso,Udinese,0,-,0
7000,Hidde ter Avest,Udinese,0,-,0
6806,Rodrigo Becão,Udinese,0,-,0
6303,Marvin Zeegelaar,Udinese,0,-,0
4903,Mamadou Coulibaly,Udinese,0,-,0
4348,Tolgay Arslan,Udinese,0,-,0
1903,Kevin Lasagna,Udinese,0,-,0
1763,Stefano Okaka,Udinese,0,-,0
1431,Sebastien De Maio,Udinese,0,-,0
1133,Cristian Zapata,Genoa,0,-,0
1200,Federico Marchetti,Genoa,-,0,0
1341,Ivan Radovanovic,Genoa,0,0,0
845,Maya Yoshida,Sampdoria,0,-,0
1624,Fabio Depaoli,Sampdoria,0,0,0
