id,name,team,1,2,3,4,5,6,total
8252,Nicolás Domínguez,Bologna,0.0799,-,-,0.0,-,0.0,0.0799
6252,Lyanco,Torino,-,-,0.0799,0.0,0.0,-,0.0799
8522,Matteo Lovato,Verona,0.0592,0.0,0.0204,0.0,0.0,0.0,0.0796
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,0.0618,0.0169,0.0,0.0,0.0787
1927,Berat Gjimshiti,Atalanta,-,0.0,0.0,0.0,0.0783,0.0,0.0783
3536,Jean-Victor Makengo,Udinese,-,-,-,0.0775,-,0.0,0.0775
8883,Riccardo Improta,Benevento,0.0768,-,0.0,0.0,0.0,0.0,0.0768
5954,Eldor Shomurodov,Genoa,-,-,0.0764,0.0,-,-,0.0764
5246,Diego Demme,Napoli,0.0,-,0.0,0.0727,-,-,0.0727
3,Luca Caldirola,Benevento,0.0,0.0,0.0294,0.0,0.039,0.0,0.0684
7472,Wilfried Stephane Singo,Torino,-,-,0.068,0.0,0.0,-,0.068
1846,Luca Siligardi,Parma Calcio 1913,0.0,0.066,-,-,-,-,0.066
8914,Salvador Ferrer,Spezia,0.0,0.0,-,0.0,0.0,0.0648,0.0648
1142,Samir,Udinese,0.0147,0.0,0.0,0.0245,0.0252,0.0,0.0644
1510,Gary Medel,Bologna,-,0.0642,0.0,-,-,-,0.0642
7912,Eljif Elmas,Napoli,0.0,0.0636,-,-,0.0,-,0.0636
7937,Julian Chabot,Spezia,0.0,0.0,0.0,0.0,0.0631,0.0,0.0631
1523,Danilo D'Ambrosio,Inter,0.0,-,0.0,0.0,0.0609,-,0.0609
2019,Federico Bonazzoli,Torino,-,-,0.0602,-,0.0,-,0.0602
7417,Christian Oliva,Cagliari,0.0588,-,-,-,0.0,-,0.0588
6375,Andrea Danzi,Verona,0.0587,-,-,-,-,-,0.0587
8124,Andri Fannar Baldursson,Bologna,-,-,-,-,0.0583,-,0.0583
7999,Hirving Lozano,Napoli,0.0211,0.0,0.0364,0.0,0.0,-,0.0575
1634,Alessandro Deiola,Spezia,0.0274,0.0,-,0.0291,-,-,0.0565
8882,Daam Foulon,Benevento,0.0,0.0,0.0,0.0292,0.0125,0.0146,0.0563
1115,Goran Pandev,Genoa,0.0,0.0,0.0,0.0,0.0531,-,0.0531
1542,Stefan Radu,Lazio,0.0,0.053,0.0,-,-,-,0.053
347,Kaan Ayhan,Sassuolo,0.0,0.0,0.0,0.0,0.0521,0.0,0.0521
3387,Nicolas N'Koulou,Torino,0.0,0.0516,0.0,0.0,0.0,-,0.0516
6108,Rodrigo Bentancur,Juventus,0.0,0.0,0.0512,-,0.0,-,0.0512
1710,Marten de Roon,Atalanta,0.0194,0.0,0.0,0.0312,0.0,-,0.0506
393,Douglas Costa,Juventus,0.0,0.0484,-,-,-,-,0.0484
1639,Sebastiano Luperto,Crotone,-,-,-,0.0,0.0,0.0478,0.0478
