id,name,team,1,2,3,4,5,6,7,8,9,total
5979,Idriss Saadi,Strasbourg,0.0548,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0548
4896,Andrew Gravillon,Lorient,-,-,-,-,-,-,0.0546,0.0,0.0,0.0546
5731,Mateo Pavlovic,Angers,-,-,0.0,0.0534,0.0,0.0,-,-,-,0.0534
8691,Saidou Sow,Saint-Etienne,-,-,-,-,-,0.0,0.0,0.0534,0.0,0.0534
5614,Baptiste Reynet,Nimes,0.0,0.0,0.0,0.0524,0.0,0.0,0.0,0.0,0.0,0.0524
3668,Jonathan Delaplace,Lorient,-,-,-,-,0.0,-,0.0,0.0171,0.0344,0.0515
3318,Jean-Louis Leca,Lens,0.0,0.0498,0.0,0.0,0.0,0.0,0.0,-,-,0.0498
8690,Jean-Phillipe Krasso,Saint-Etienne,0.0,-,-,-,0.0,-,0.0495,-,-,0.0495
1256,Kevin Strootman,Marseille,0.0467,0.0,0.0,-,-,-,0.0,-,-,0.0467
6868,Gaetan Paquiez,Nimes,-,-,-,0.0467,0.0,-,0.0,0.0,-,0.0467
7568,Bilal Benkhedim,Saint-Etienne,-,-,-,-,-,-,0.0,-,0.0464,0.0464
6060,Otávio,Bordeaux,0.0168,0.0,0.024,0.0,0.0,-,0.0,0.0,0.0,0.0408
6436,Stanley N'Soki,Nice,-,-,-,-,-,-,0.0,0.0389,-,0.0389
3456,Jimmy Cabot,Angers,-,-,-,-,0.0,0.0,0.0379,0.0,0.0,0.0379
4242,Stefan Mitrovic,Strasbourg,0.0,-,0.0,0.0,0.0171,0.0,0.0208,0.0,0.0,0.0379
6904,Ibrahima Sissoko,Strasbourg,0.0377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377
8685,Mohamed Ali-Cho,Angers,-,0.0,-,0.0,0.0,0.0,-,-,0.0362,0.0362
6935,Naif Aguerd,Rennes,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035
1056,Jeff Reine-Adelaide,Lyon,0.0346,-,-,-,-,-,-,-,-,0.0346
7751,Miguel Trauco,Saint-Etienne,-,-,-,-,-,-,0.0346,-,-,0.0346
6880,Edouard Mendy,Rennes,0.0328,-,-,-,-,-,-,-,-,0.0328
961,Jordan Amavi,Marseille,0.0,0.0134,-,-,-,0.0102,0.0,0.0092,-,0.0328
3670,Nicolas Pallois,Nantes,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,-,-,0.0326
3445,Corentin Jean,Lens,0.0311,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0311
8658,Heriberto Tavares,Brest,0.0,0.0308,-,-,-,-,0.0,-,-,0.0308
9067,Amadou Traoré,Bordeaux,-,-,-,-,-,-,-,0.0303,-,0.0303
6501,Andy Pelmard,Nice,0.0,0.0,0.0,0.0,0.0298,0.0,-,-,0.0,0.0298
1734,Sofiane Boufal,Angers,-,-,-,-,-,-,0.0,0.0,0.029,0.029
8981,Jéremy Doku,Rennes,-,-,-,-,-,-,0.0,0.0,0.029,0.029
6615,Trevoh Chalobah,Lorient,-,-,0.0,-,-,-,0.0,0.0288,-,0.0288
8669,Simon Banza,Lens,0.0,0.0,-,0.0,0.0287,0.0,0.0,-,-,0.0287
7913,Lamine Fomba,Nimes,0.0,-,0.0,0.0083,0.0,0.0,0.0185,0.0,0.0,0.0268
8645,Enzo Millot,Monaco,-,-,-,-,-,0.0264,-,-,-,0.0264
7687,Jean Lucas,Lyon,-,-,0.0263,0.0,0.0,-,0.0,-,-,0.0263
8920,Dilane Bakwa,Bordeaux,-,-,-,-,0.025,0.0,-,-,-,0.025
1304,Moise Kean,Paris Saint Germain,-,-,-,-,-,-,0.0248,0.0,0.0,0.0248
3373,Pablo Martinez,Nimes,0.0,0.0245,0.0,-,-,-,0.0,-,0.0,0.0245
3568,Clément Grenier,Rennes,-,-,-,-,-,-,0.0243,-,0.0,0.0243
5620,Romain Amalfitano,Dijon,0.0,0.0211,-,-,-,-,-,-,-,0.0211
3338,Daniel Congré,Montpellier,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0205
5737,Saif-Eddine Khaoui,Marseille,-,-,-,-,0.0189,-,-,-,-,0.0189
5744,Matteo Ahlinvi,Nimes,-,-,-,0.0183,-,-,0.0,0.0,-,0.0183
6489,Steven Fortes,Lens,-,-,-,0.0182,0.0,-,-,-,-,0.0182
7589,Wesley Fofana,Saint-Etienne,0.0,0.0,0.0,-,0.0177,-,-,-,-,0.0177
5789,Boubacar Kamara,Marseille,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,-,0.0175
5984,Alexandre Oukidja,Metz,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.016
3271,Jérémy Morel,Lorient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0156
6112,Andrei Girotto,Nantes,0.0,0.0,0.0135,0.0,0.0,0.0,-,-,-,0.0135
7767,John Boye,Metz,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0124
6861,Anthony Briancon,Nimes,-,-,0.0,0.0,0.0096,0.0,-,0.0,0.0,0.0096
5998,Christophe Herelle,Brest,-,-,0.0,0.0,0.0,-,0.0,0.008,-,0.008
5974,Bingourou Kamara,Strasbourg,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8037,Marley Aké,Marseille,0.0,-,0.0,0.0,-,-,0.0,0.0,-,0.0
3118,Damien Le Tallec,Montpellier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
2713,Petar Skuletic,Montpellier,0.0,-,-,-,-,-,-,-,0.0,0.0
8696,Pape Alassane Gueye,Marseille,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0
5678,Eiji Kawashima,Strasbourg,0.0,0.0,-,-,-,-,-,-,-,0.0
3591,Dimitry Bertaud,Montpellier,-,-,-,-,-,-,-,0.0,0.0,0.0
3337,Hilton,Montpellier,-,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0
6745,Christopher Rocchia,Marseille,-,-,0.0,-,-,-,-,-,-,0.0
8980,Luis Henrique,Marseille,-,-,-,-,-,-,0.0,-,-,0.0
8996,Mouhamadou Drammeh,Reims,-,-,-,-,-,-,0.0,-,0.0,0.0
6007,Nicolas Cozza,Montpellier,-,-,-,0.0,-,-,0.0,0.0,0.0,0.0
8276,Yun Il-Lok,Montpellier,-,-,-,-,-,-,-,0.0,0.0,0.0
7064,Farid El Melali,Angers,0.0,0.0,-,-,-,-,-,-,-,0.0
6251,Wilfried Kanga,Angers,0.0,0.0,-,-,-,-,-,-,-,0.0
7206,Jonathan Gradit,Lens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0
4801,Rachid Alioui,Angers,-,-,-,-,-,-,0.0,-,-,0.0
8665,Loic Bade,Lens,0.0,0.0,0.0,-,0.0,0.0,0.0,-,-,0.0
3488,Romain Thomas,Angers,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0
3486,Vincent Manceau,Angers,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
3358,Ibrahim Amadou,Angers,-,-,-,-,-,-,0.0,0.0,0.0,0.0
8671,Manuel Perez,Lens,-,0.0,0.0,-,0.0,0.0,-,-,-,0.0
3344,Casimir Ninga,Angers,0.0,-,-,-,-,-,-,-,-,0.0
8759,David Pereira Da Costa,Lens,-,-,-,-,-,0.0,-,-,-,0.0
9038,Aleksandar Radovanovic,Lens,-,-,-,-,-,-,0.0,-,-,0.0
3334,Lassana Coulibaly,Angers,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0,0.0
3251,Paul Bernardoni,Angers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8679,Samy Benchama,Montpellier,0.0,-,-,-,-,-,-,-,-,0.0
8678,Jonas Omlin,Montpellier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
728,Lamine Koné,Strasbourg,0.0,0.0,-,-,-,-,0.0,0.0,-,0.0
4811,Jean Eudes Aholou,Strasbourg,-,-,-,-,-,0.0,0.0,0.0,-,0.0
3309,Valère Germain,Marseille,0.0,0.0,0.0,0.0,0.0,-,0.0,-,-,0.0
3393,Bouna Sarr,Marseille,-,-,0.0,0.0,-,-,-,-,-,0.0
5742,Hugo Magnetti,Brest,-,0.0,-,-,-,0.0,0.0,-,-,0.0
3599,Presnel Kimpembe,Paris Saint Germain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0
3298,Layvin Kurzawa,Paris Saint Germain,0.0,0.0,-,-,-,-,-,-,0.0,0.0
2674,Thilo Kehrer,Paris Saint Germain,0.0,0.0,-,-,-,-,-,-,0.0,0.0
2256,Jesé,Paris Saint Germain,0.0,-,-,-,-,-,0.0,-,-,0.0
2243,Keylor Navas,Paris Saint Germain,-,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0
2072,Sergio Rico,Paris Saint Germain,-,0.0,-,-,-,-,-,0.0,-,0.0
1248,Leandro Paredes,Paris Saint Germain,-,0.0,-,-,0.0,0.0,0.0,-,-,0.0
3297,Marquinhos,Paris Saint Germain,-,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
2430,Álvaro González,Marseille,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
7728,Gautier Larsonneur,Brest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7717,Isaac Lihadji,Lille,-,-,-,-,0.0,0.0,-,0.0,0.0,0.0
6601,Timothy Weah,Lille,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0
7736,Brendan Chardonnet,Brest,0.0,-,0.0,0.0,-,0.0,-,-,0.0,0.0
3737,Mike Maignan,Lille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3356,Adama Soumaoro,Lille,-,-,-,-,-,-,0.0,-,0.0,0.0
1784,Jérémy Pied,Lille,-,0.0,0.0,-,-,-,-,-,-,0.0
4804,Abdou Diallo,Paris Saint Germain,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
7772,Marcin Bulka,Paris Saint Germain,0.0,-,-,-,-,-,-,-,-,0.0
8698,Kays Ruiz-Atil,Paris Saint Germain,0.0,-,-,-,0.0,-,0.0,0.0,0.0,0.0
8983,Karim Aribi,Nimes,-,-,-,-,-,-,0.0,0.0,0.0,0.0
1670,Steve Mandanda,Marseille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
1506,Yuto Nagatomo,Marseille,-,-,-,0.0,0.0,-,-,-,-,0.0
7486,Leonardo Balerdi,Marseille,0.0,-,0.0,-,-,-,-,0.0,-,0.0
6937,Georginio Rutter,Rennes,-,-,-,-,0.0,-,-,-,-,0.0
4765,Loïck Landre,Nimes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0
5770,James Edward Lea Siliki,Rennes,-,-,-,-,-,-,-,-,0.0,0.0
