id,name,team,1,2,3,4,5,6,7,8,total
3521,Dennis Appiah,Nantes,0.0,0.3074,0.075,0.3646,0.178,0.08,-,-,1.005
3740,Lucas Deaux,Nimes,0.3969,0.0,0.1498,-,-,0.3641,0.0185,0.0678,0.9971
3495,Pierrick Capelle,Angers,0.0,0.0,0.1447,0.2757,0.065,0.4467,0.0556,-,0.9877
8094,Mathis Cherki,Lyon,0.0,0.0,0.0727,0.877,0.0,0.0,-,-,0.9497
3275,Jordan Ferri,Montpellier,0.0,0.1042,0.0598,0.455,0.1824,0.1332,0.0,0.0092,0.9438
7265,Kephren Thuram,Nice,0.0679,0.026,0.0136,0.1252,-,0.7033,0.0,0.0,0.936
3239,Hamari Traore,Rennes,-,-,0.0728,0.0914,0.3766,0.1802,0.1043,0.1058,0.9311
7551,Mohamed Simakan,Strasbourg,0.0,0.1021,0.4662,0.0,0.0416,0.0361,0.161,0.1195,0.9265
3800,Steve Mounie,Brest,-,-,0.5751,0.1781,0.1393,0.0329,0.0,0.0,0.9254
3251,Paul Bernardoni,Angers,0.058,0.0545,0.65,0.0397,0.0174,0.0,0.0379,0.0613,0.9188
7012,Gelson Martins,Monaco,0.0869,0.0,0.2686,0.0,-,0.1023,0.1128,0.3433,0.9139
7734,Cristian Battocchio,Brest,0.0,-,0.6683,0.1008,0.0,-,-,0.1331,0.9022
4849,Sada Thioub,Angers,0.5377,0.0244,0.0169,0.0947,0.0981,0.0775,0.0,0.0392,0.8885
6883,Xavier Chavalerin,Reims,0.3062,0.0181,0.0218,0.1314,0.1243,0.2846,0.0,-,0.8864
4403,Mehdi Abeid,Nantes,-,0.0,-,0.4461,0.0,0.0608,0.3784,-,0.8853
8697,Jonathan Clauss,Lens,-,-,0.3272,0.1285,0.2362,0.1913,0.0,-,0.8832
3370,Issiaga Sylla,Lens,0.2916,0.0,0.0,0.4743,0.1169,-,-,-,0.8828
6112,Andrei Girotto,Nantes,0.021,0.0,0.3039,0.4839,0.066,0.0,-,-,0.8748
5975,Kenny Lala,Strasbourg,0.0,0.1021,0.0169,0.1972,0.1506,0.146,0.13,0.1195,0.8623
