id,name,team,1,2,3,4,5,6,7,8,9,total
4177,Álex Fernández,Cadiz,0.029,0.5179,0.3418,0.0,0.1523,0.1222,0.0883,0.0225,0.1343,1.4083
2566,Roger,Levante,-,1.0763,0.0,0.0,0.0,0.0,0.3226,-,-,1.3989
6926,William Carvalho,Real Betis,0.0631,0.2899,0.1613,0.0352,0.0,0.0,0.8457,0.0,0.0,1.3952
680,Thibaut Courtois,Real Madrid,0.0246,0.5525,0.047,0.0,0.1204,0.5267,0.0628,0.0612,-,1.3952
3226,Ousmane Dembélé,Barcelona,0.5917,-,-,0.3177,0.0,0.0533,0.408,-,-,1.3707
615,Fernando,Sevilla,-,0.1483,0.7355,0.1175,-,0.1487,0.2093,-,-,1.3593
3425,Thomas Lemar,Atletico Madrid,0.0966,-,-,0.7983,0.0,0.0772,0.3871,-,-,1.3592
2079,Rubén Rochina,Levante,-,-,-,-,0.1309,0.1626,0.1367,0.9172,-,1.3474
1125,Carlos Bacca,Villarreal,-,-,0.0,0.0743,-,0.1158,0.0,0.585,0.5574,1.3325
5093,Roberto Torres,Osasuna,0.0,0.0921,0.541,-,-,0.0,0.6496,0.0464,-,1.3291
3264,Mauro Arambarri,Getafe,0.0635,0.1654,0.279,0.0505,0.0349,0.1675,0.4752,0.0867,-,1.3227
2482,Tomás Pina,Alaves,0.0,-,-,-,0.4001,0.0836,0.7064,0.0367,0.0868,1.3136
7857,Jon Moncayola,Osasuna,0.0502,0.0505,0.0271,0.0,0.3471,-,0.6342,0.2006,-,1.3097
2305,Adrián,Osasuna,0.3993,0.0539,0.5681,0.0,0.0,0.0,0.1308,0.1516,-,1.3037
1290,Miralem Pjanic,Barcelona,0.1818,-,0.0404,-,-,0.3697,0.7063,-,-,1.2982
8334,Hugo Guillamón,Valencia,-,-,0.0577,0.0,0.4052,-,0.6766,0.0815,0.0742,1.2952
495,Nacho Monreal,Real Sociedad,-,-,-,0.076,0.0,0.452,-,-,0.7557,1.2837
7208,Samuel Chukwueze,Villarreal,0.2798,0.549,0.0,0.0,0.0,0.232,0.0195,0.2003,-,1.2806
1508,Jeison Murillo,Celta Vigo,-,0.2247,0.0,0.0,0.1078,0.0,0.081,0.1045,0.7469,1.2649
6917,Rubén Alcaraz,Real Valladolid,-,-,-,-,-,0.0262,0.1311,0.2675,0.8324,1.2572
8122,Sergio Carreira,Celta Vigo,-,-,-,-,-,0.3545,0.4136,0.487,-,1.2551
866,Joselu,Alaves,0.0,0.0957,0.3703,-,0.0767,0.3871,0.0316,0.0367,0.2532,1.2513
7349,Enric Gallego,Osasuna,-,-,0.0614,0.0,0.8945,0.0,0.1308,0.1631,-,1.2498
4054,Pablo Hervías,Real Valladolid,0.0,0.0298,0.1074,0.1627,0.0,-,-,0.2563,0.6904,1.2466
2130,Dani García,Athletic Club,0.1513,0.1375,0.0189,0.0554,0.5877,0.054,0.097,0.1386,-,1.2404
7313,Lee Kang-In,Valencia,0.1976,0.0189,0.0708,0.1071,0.0527,-,0.6556,0.11,0.0276,1.2403
8771,Yunus Musah,Valencia,0.3299,0.0,0.0,0.0381,-,0.0,0.1351,0.6907,0.0291,1.2229
2400,Raúl García,Athletic Club,0.1357,0.0707,0.0731,0.3987,0.1747,0.2215,0.1057,0.0275,-,1.2076
8896,Nino,Elche,0.8704,0.0,-,-,-,0.336,0.0,-,-,1.2064
6930,Néstor Araújo,Celta Vigo,0.2777,0.0,0.0,0.1016,-,0.442,0.0,0.3825,-,1.2038
5140,Kike Barja,Osasuna,0.0,0.039,-,0.0114,0.4889,0.0213,0.6342,-,-,1.1948
2578,Javi Ontiveros,SD Huesca,-,-,0.1156,0.0444,0.5447,0.1085,0.0289,0.3477,0.0,1.1898
2478,Carlos Soler,Valencia,-,-,-,-,0.0,0.1377,0.7768,0.2299,0.0451,1.1895
7276,Robin Le Normand,Real Sociedad,-,0.0,0.0,0.0981,0.0,0.3657,0.1061,0.1168,0.4961,1.1828
2484,Iñigo Martínez,Athletic Club,0.1673,0.0,0.1124,0.3411,0.1439,0.143,0.0856,0.1889,-,1.1822
2228,Aritz Elustondo,Real Sociedad,0.0255,0.1317,0.4613,0.0981,0.0,0.0,0.2273,-,0.2352,1.1791
6368,Mathías Olivera,Getafe,0.0989,0.2019,0.0696,0.0,0.1123,0.1675,0.5171,-,-,1.1673
8775,Son,Levante,-,-,0.0238,-,0.0,-,0.1842,0.9465,-,1.1545
