id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
2482,Tomás Pina,Alaves,0.0,-,-,-,0.4001,0.0836,0.2478,0.0367,0.0868,0.1056,0.1545,0.0,-,1.1151
452,Takashi Inui,Eibar,0.0,0.4987,0.0,0.0924,0.015,0.0,0.0,0.2596,0.0301,-,0.0,0.2143,-,1.1101
2586,Anaitz Arbilla,Eibar,-,-,0.0,0.0479,0.4743,0.0,0.0717,0.3194,0.0,0.0326,0.0,0.1612,-,1.1071
4226,Darwin Machís,Granada,0.0,0.0,0.0,0.0,0.0577,0.0,0.0,0.0,0.0203,1.0152,0.0,-,-,1.0932
2435,Óscar Duarte,Levante,0.7211,-,0.0,-,-,0.024,-,0.2398,0.107,-,-,-,-,1.0919
2261,Jan Oblak,Atletico Madrid,0.0,0.0,0.0,0.0719,0.0,0.08,0.6247,0.0,0.0,0.3074,-,-,-,1.084
1700,Lucas Pérez,Alaves,0.0,-,0.0,0.0,0.0483,0.3615,0.4586,-,0.0868,0.0,0.0673,0.059,-,1.0815
2278,Giménez,Atletico Madrid,-,-,-,-,-,0.0758,0.9031,0.0419,0.0478,-,-,-,-,1.0686
6932,Okay Yokuslu,Celta Vigo,0.3376,0.0524,0.0,-,0.1384,-,-,-,-,0.0,0.5354,-,-,1.0638
1003,Pablo Maffeo,SD Huesca,0.0237,0.0114,-,-,-,0.0,0.0,0.3827,-,-,0.0,0.6389,-,1.0567
8733,Alfonso Espino,Cadiz,0.1247,0.0,0.3418,0.0,0.0406,0.4804,0.0,0.0225,0.0099,0.0,0.0359,0.0,-,1.0558
6954,Juan Camilo Hernández,Getafe,0.0,0.2128,0.4698,0.0505,0.0,0.0,0.1003,0.092,0.1256,0.0,0.0,-,-,1.051
5162,Nacho Vidal,Osasuna,0.1103,0.039,0.519,0.0,0.0,0.0,0.0,0.0281,0.0,0.3515,0.0,0.0,-,1.0479
2328,Thomas Partey,Atletico Madrid,0.1381,0.64,0.2687,-,-,-,-,-,-,-,-,-,-,1.0468
2075,Andrés Fernández,SD Huesca,0.2842,0.0,0.0864,0.0,0.0,0.0,0.0289,0.3363,0.3038,0.0,0.0,-,-,1.0396
2122,Joan Jordán,Sevilla,0.0,0.2817,0.0,0.1026,-,0.3618,0.0526,0.0,0.121,0.1092,-,-,-,1.0289
2090,Marc-André ter Stegen,Barcelona,-,-,-,-,-,-,0.4311,0.0476,0.3977,0.1502,-,-,-,1.0266
4037,Pablo Insúa,SD Huesca,0.2842,-,-,-,0.1534,-,-,-,0.5355,0.0533,0.0,-,-,1.0264
8015,Rodrygo,Real Madrid,0.0279,-,-,0.0,-,0.1367,0.5481,0.0612,-,0.1676,0.0805,-,-,1.022
2566,Roger,Levante,-,0.0,0.0,0.0,0.0,0.0,0.1756,-,0.107,0.0,0.7195,-,-,1.0021
8433,José Manuel Fontán,Celta Vigo,-,-,-,0.0,-,0.442,0.0724,0.487,-,-,-,-,-,1.0014
7155,Nikola Vukcevic,Levante,0.0,0.974,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.974
5185,Unai Simón,Athletic Club,0.0,0.0428,0.0,0.0299,0.0759,0.1946,0.0259,0.0,0.5516,0.0,0.0407,-,-,0.9614
7859,Sergio Herrera,Osasuna,0.0,0.2735,0.0368,0.0,0.3471,0.0,0.0441,0.0212,0.0297,0.0,0.1138,0.0944,-,0.9606
6120,Bono,Sevilla,0.0328,0.0992,0.6648,0.0534,-,0.0,0.0804,-,-,0.0222,-,-,-,0.9528
2212,Sergio Álvarez,Eibar,0.0,0.4987,-,0.1242,0.015,0.0,0.0,0.0,0.0527,0.0,0.0,0.2511,-,0.9417
7313,Lee Kang-In,Valencia,0.0934,0.0,0.0708,0.0,0.0,-,0.6556,0.0882,0.0276,0.0,-,-,-,0.9356
2424,Óliver Torres,Sevilla,0.169,0.0,0.0,-,0.181,0.0,0.1932,0.0573,0.1398,0.192,-,-,-,0.9323
2193,Cala,Cadiz,0.0,0.0,0.4154,0.0,0.064,0.3449,0.0697,0.0,0.0099,-,-,-,-,0.9039
2578,Javi Ontiveros,SD Huesca,-,-,0.0,0.0,0.4947,0.0739,0.0289,0.0,0.0,-,0.0,0.3062,-,0.9037
3211,Martin Braithwaite,Barcelona,-,-,-,0.0,0.0,0.0239,0.0,0.0,0.8286,0.0488,-,-,-,0.9013
2189,Pedro López,SD Huesca,-,-,0.0688,0.0,-,-,-,-,0.7735,0.0584,-,-,-,0.9007
1227,Lucas Torreira,Atletico Madrid,-,-,-,0.4567,0.0,0.0,0.4436,-,-,0.0,-,-,-,0.9003
7338,Bryan Gil Salvatierra,Eibar,-,-,-,-,-,0.0,0.1813,0.2065,0.0339,0.3785,0.0,0.0936,-,0.8938
2555,Remiro,Real Sociedad,0.0555,0.0767,0.0,0.0981,0.0,0.0,0.1081,0.0,0.1084,0.4312,0.0,0.015,-,0.893
5077,Mikel Vesga,Athletic Club,0.0,0.0,-,-,-,-,0.1174,0.1479,0.5516,0.0,0.0728,-,-,0.8897
9011,Óscar Mingueza,Barcelona,-,-,-,-,-,-,-,-,0.7845,0.0888,-,-,-,0.8733
7856,Aridane Hernández,Osasuna,0.3491,0.0157,-,-,0.3471,0.0115,-,-,-,-,0.0,0.1382,-,0.8616
8058,Thierry Correia,Valencia,-,0.0,-,0.6514,0.0,0.0,0.1422,0.0644,-,-,0.0,0.0,-,0.858
