id,name,team,1,2,3,4,5,6,7,8,total
2125,Ander Capa,Athletic Club,0.0,0.0563,0.0,0.0288,0.0202,0.0211,0.0,-,0.1264
5073,Florian Lejeune,Alaves,-,0.0,0.0326,0.0,0.0,0.0,0.0399,0.0529,0.1254
6528,Loren Morón,Real Betis,-,-,0.0,0.1241,-,0.0,0.0,-,0.1241
7430,Emerson,Real Betis,0.0,0.0451,0.0,-,0.0,-,-,0.0777,0.1228
6233,Ferland Mendy,Real Madrid,0.0246,0.0758,-,0.0222,-,0.0,0.0,-,0.1226
2281,Hugo Mallo,Celta Vigo,0.0229,0.0963,0.0,0.0,0.0,-,-,-,0.1192
8737,Jens Jonsson,Cadiz,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118
7891,Renan Lodi,Atletico Madrid,0.069,0.0,0.0465,-,0.0,-,-,-,0.1155
2238,Jon Bautista,Real Sociedad,0.0,0.0,0.1144,-,0.0,-,0.0,-,0.1144
4146,Fidel,Elche,0.0,0.0,0.0,0.0,0.0648,0.0487,-,-,0.1135
6149,Unai Núñez,Athletic Club,-,0.0,0.113,0.0,-,-,-,-,0.113
2130,Dani García,Athletic Club,0.0,0.0,0.0,0.0,0.0,0.0191,0.0936,-,0.1127
2314,Sidnei,Real Betis,-,-,-,0.0,0.1101,0.0,-,-,0.1101
2483,Adrián Marín,Alaves,-,-,-,-,-,0.1083,-,0.0,0.1083
2394,Etxeita,Getafe,0.0,0.0,0.0192,0.0872,-,-,-,-,0.1064
4037,Pablo Insúa,SD Huesca,0.1058,-,-,-,0.0,-,-,-,0.1058
6325,Andoni Gorosabel,Real Sociedad,0.0,0.0,0.016,0.0,0.0199,0.0656,0.0,0.0,0.1015
4120,Álex Moreno,Real Betis,0.0579,0.0,0.0,0.0,0.0419,0.0,0.0,0.0,0.0998
2289,Nemanja Radoja,Levante,0.043,0.0,0.0,0.0,0.0,-,0.0554,-,0.0984
1227,Lucas Torreira,Atletico Madrid,-,-,-,0.021,0.0,0.0772,-,-,0.0982
7864,Carlos Neva,Granada,0.0,0.0,-,0.0116,0.049,0.0,0.0374,-,0.098
6282,Emiliano Rigoni,Elche,-,-,-,0.0966,0.0,0.0,-,-,0.0966
5140,Kike Barja,Osasuna,0.0,0.039,-,0.0,0.056,0.0,0.0,-,0.095
2135,Sergi Enrich,Eibar,0.0,0.0325,-,-,-,0.0,0.0,0.0598,0.0923
6151,Djené Dakonam,Getafe,0.0,0.0921,0.0,0.0,0.0,0.0,0.0,-,0.0921
1125,Carlos Bacca,Villarreal,-,-,0.0,0.0,-,0.0622,0.0297,0.0,0.0919
2229,Yuri,Athletic Club,-,0.016,0.0607,0.0,-,0.0,0.0142,-,0.0909
8738,Filip Malbasic,Cadiz,0.0,0.0,0.0,0.0694,0.0208,0.0,0.0,0.0,0.0902
2301,Manu Trigueros,Villarreal,-,0.0,0.0,0.0171,0.019,0.0211,0.0172,0.0155,0.0899
1290,Miralem Pjanic,Barcelona,0.0418,-,0.0,-,-,0.0467,-,-,0.0885
5077,Mikel Vesga,Athletic Club,0.0,0.0,-,-,-,-,0.088,-,0.088
2328,Thomas Partey,Atletico Madrid,0.0,0.0531,0.0337,-,-,-,-,-,0.0868
9033,Iván Marcone,Elche,-,-,-,0.0,0.0865,0.0,-,-,0.0865
8728,Oier Zarraga,Athletic Club,-,-,-,-,0.0,0.0,0.0856,-,0.0856
2228,Aritz Elustondo,Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.0,0.084,-,0.084
2586,Anaitz Arbilla,Eibar,-,-,0.0,0.0,0.0,0.053,0.017,0.0135,0.0835
8979,Sergiño Dest,Barcelona,-,-,0.0,0.0,0.0,0.082,-,-,0.082
7905,Fede San Emeterio,Real Valladolid,0.0,0.0,0.0657,0.0,0.0163,0.0,-,-,0.082
4051,Ramón Azeez,Granada,0.0,-,0.0809,-,-,-,-,-,0.0809
7857,Jon Moncayola,Osasuna,0.0133,0.0,0.0271,0.0,0.0188,-,0.0185,-,0.0777
8707,Damian Kadzior,Eibar,0.0495,0.0275,0.0,0.0,-,-,-,0.0,0.077
495,Nacho Monreal,Real Sociedad,-,-,-,0.076,0.0,0.0,-,-,0.076
2263,Stefan Savic,Atletico Madrid,0.0,-,0.0759,0.0,0.0,0.0,-,-,0.0759
652,Kieran Trippier,Atletico Madrid,0.0,0.0,0.0,0.0,0.0,0.0745,-,-,0.0745
2442,Kevin Gameiro,Valencia,-,-,0.0708,0.0,0.0,0.0,0.0,-,0.0708
